"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",26,12,501,20,11,396,936,64,207,27,1170,76,17,318,33,18,28,10,398
"2",610,7,71,28,12,107,10,21,16,857,18,64,72,12,8,859,640,124,19
"3",20,380,17,23,592,375,17,1034,26,129,37,53,47,25,32,19,45,17,48
"4",13,13,21,13,12,176,25,29,12,30,24,123,347,10,710,4,740,16,663
"5",7,2,6,22,7,13,43,11,678,10,16,25,8,4,890,5,4,4,231
"6",5,4,6,6,9,58,7,415,11,6,8,37,52,404,7,47,10,467,11
"7",4,5,0,7,5,151,70,10,15,7,17,88,227,2,5,14,230,6,6
"8",6,2,13,838,1,14,13,502,9,5,16,57,108,4,91,7,16,6,64
"Un",9,3,29,182,26,37,29,88,15,14,16,47,32,12,94,38,54,7,183
"X",3,9,4,15,10,25,6,9,12,7,14,340,5,4,10,6,4,2,4
