"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","X","2a","2b"
"1",6,1,2,287,0,18,144,245,406,6,0,0,455,430,266,3,0,33,366,0,0,3,367,3
"2",1028,31,2,567,621,92,2,1,1,0,2,1,0,0,1,134,2,0,1,13,0,1,1,52
"3",1,1,3,76,89,1,322,9,0,2,163,0,0,0,1,228,198,355,1,0,102,4,2,2
"4",373,177,1,0,4,2,1,1,0,394,0,116,0,0,0,1,0,241,0,97,0,54,0,247
"5",2,0,530,1,0,0,35,0,1,324,0,0,0,0,0,0,0,0,13,0,0,1,15,0
"6",8,314,0,60,0,122,1,288,0,2,3,0,0,1,323,1,0,0,0,0,0,6,2,1
"7",2,176,0,0,1,1,0,0,1,0,1,130,0,8,0,9,0,0,0,0,0,65,52,164
"8",0,96,0,1,1,342,0,0,114,68,374,0,0,1,0,3,0,0,1,0,133,2,1,0
"Un",31,16,0,11,0,36,0,6,20,63,58,0,1,1,1,13,0,56,2,4,43,22,13,5
"X",0,1,0,1,1,0,0,2,0,0,0,0,0,0,2,2,1,1,0,0,1,249,0,1
