"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",3,398,1,0,297,0,19,155,266,437,6,1,0,491,451,290,4,0,37,390,0,0,1,2
"2",1092,59,32,1,7,656,105,0,0,1,0,2,1,0,0,0,756,2,1,0,13,0,0,0
"3",0,5,1,2,323,95,2,339,9,0,1,179,0,0,0,1,2,211,394,0,0,107,0,1
"4",406,264,185,0,0,4,1,1,0,0,414,1,124,1,1,0,1,0,252,0,106,0,0,52
"5",2,17,0,576,0,0,0,35,1,1,346,0,0,0,0,0,0,0,0,17,0,0,0,1
"6",9,3,333,0,27,0,134,1,300,0,1,2,0,0,0,339,38,0,0,0,0,0,0,5
"7",2,234,187,0,0,2,1,0,0,0,0,1,135,0,11,0,9,0,0,0,0,0,0,70
"8",0,1,103,0,0,1,369,0,0,125,75,393,0,0,1,0,4,0,1,1,0,151,0,2
"Un",35,20,16,0,0,0,35,0,6,20,72,63,0,0,1,1,25,0,59,2,4,51,0,24
"X",1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,1,1,1,2,0,0,0,1,257
