"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",4,1,15,1,0,282,886,145,416,364,0,2,367,3,248,3,1,0,37,273,5
"2",1039,30,96,607,1,6,0,0,1,0,1,49,1,0,3,688,1,1,0,0,0
"3",0,2,2,92,1,300,1,312,0,96,153,0,5,1,10,1,0,201,348,1,1
"4",366,173,100,3,1,2,0,0,0,0,3,192,56,384,0,1,116,0,232,0,52
"5",49,0,0,0,506,0,0,33,1,14,0,0,17,310,0,0,0,0,0,0,1
"6",10,278,125,0,0,27,0,1,0,0,34,0,2,0,284,36,0,0,0,318,3
"7",2,177,0,1,0,0,13,0,0,0,2,171,49,1,0,8,124,1,0,0,58
"8",0,97,319,0,0,1,1,0,118,146,373,0,2,68,0,4,0,0,0,0,2
"Un",35,15,33,0,0,0,2,0,22,42,59,7,13,68,4,22,0,0,50,1,21
"X",0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,2,0,1,1,1,251
