"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",12,794,0,29,47,98,214,361,203,66,206,419,57,308,1,0,93,103,216,0,1
"2",514,1,395,201,129,7,4,35,51,217,771,1,23,5,0,32,315,1,0,0,1
"3",79,1,40,58,197,1,1,157,52,112,43,2,304,0,253,46,95,185,0,0,1
"4",94,155,22,403,35,0,448,8,294,10,2,1,2,61,1,223,23,13,0,0,49
"5",0,177,154,1,304,28,108,132,0,0,0,0,0,0,0,0,0,0,83,0,0
"6",1,1,1,204,74,146,149,0,150,0,80,1,52,61,1,76,107,28,63,0,2
"7",226,0,122,0,4,1,13,41,18,7,9,0,0,90,0,47,3,0,0,0,51
"8",0,85,0,0,101,401,0,8,72,169,4,55,15,20,173,2,14,19,72,0,2
"Un",4,4,7,26,6,31,91,4,5,66,25,12,13,1,55,15,1,0,37,0,20
"X",2,0,0,0,0,0,1,1,1,0,3,0,2,0,0,0,0,2,1,0,253
