"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",18,405,269,184,208,1,2,3,2,17,2,1,2,1,11,1,495,349,2,159,0,6
"2",3,0,2,2,0,30,15,0,3,0,6,597,699,38,0,270,1,2,568,0,0,4
"3",11,4,268,1,2,1,2,1,191,0,207,56,3,4,0,2,1,2,1,0,127,3
"4",378,2,3,2,39,1,251,38,0,0,0,4,206,203,0,2,2,0,2,0,0,56
"5",256,198,2,17,0,0,0,1,1,0,0,0,2,0,300,1,2,1,0,0,0,1
"6",280,2,26,0,0,142,4,0,248,46,1,1,1,11,0,1,0,0,1,0,0,8
"7",1,51,1,0,0,0,149,99,0,0,0,1,4,187,1,1,11,0,8,0,0,34
"8",22,4,0,217,0,0,165,200,36,89,1,3,39,58,0,92,1,0,3,0,0,2
"Un",9,14,0,36,0,0,3,2,4,30,1,1,26,12,1,0,2,16,23,0,0,17
"X",4,0,1,0,1,0,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,203
