"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",90,176,792,39,354,25,793,40,17,38,25,8,447,416,51,37,19,411,31,12,16,328,25,13,203,104,88
"2",1021,66,53,18,71,16,14,404,28,23,861,386,11,63,18,9,19,22,20,483,9,4,26,128,63,5,67
"3",74,61,42,23,847,25,61,24,400,20,23,20,10,75,16,228,358,16,26,121,36,1,257,30,15,8,70
"4",483,528,27,16,35,7,13,15,15,153,9,128,9,693,512,7,10,19,29,23,312,1,15,16,12,5,138
"5",33,38,47,13,34,461,5,17,5,15,6,2,24,249,544,4,120,11,7,6,145,11,25,6,22,105,37
"6",42,384,23,90,41,2,17,15,4,12,47,3,5,9,9,3,3,6,402,2,4,2,23,486,4,1,47
"7",286,213,78,12,6,3,9,10,6,156,17,3,3,17,5,4,8,10,7,3,2,1,17,6,3,8,111
"8",83,9,702,526,13,9,8,14,3,11,10,9,157,81,8,3,6,15,72,4,88,3,9,8,2,17,74
"Un",63,28,237,44,52,5,26,7,9,7,38,20,8,272,21,3,33,7,26,4,82,8,5,12,21,8,58
"X",26,13,13,6,11,9,9,2,11,3,8,2,4,18,7,3,2,11,2,4,3,2,8,3,0,5,379
