"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",793,359,533,29,18,314,814,13,32,8,5,10,22,657,78,111,469,25,0,16
"2",459,67,142,688,14,241,499,18,216,149,5,832,71,68,116,6,17,12,0,20
"3",152,1600,85,422,15,166,112,15,13,9,1,28,32,338,37,209,12,8,0,28
"4",69,104,36,24,7,760,30,9,870,10,158,13,345,20,310,8,14,10,6,94
"5",250,941,67,5,14,39,7,594,125,5,3,6,5,29,75,4,51,4,1,10
"6",481,54,427,5,8,9,10,7,34,83,1,20,390,14,14,0,5,52,0,24
"7",18,10,75,14,4,8,5,7,4,0,159,9,271,5,219,0,3,4,1,69
"8",21,103,13,8,763,18,8,2,167,146,2,9,150,3,11,2,12,313,1,68
"Un",16,190,62,18,273,228,17,5,65,4,1,50,44,52,15,3,5,16,0,100
"X",11,23,8,10,6,12,9,10,5,4,2,7,2,3,4,2,6,2,0,338
