"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",2,196,0,221,0,0,285,1,225,1,1,1,55,1,1,0,2,0,163,0,1
"2",57,41,0,1,158,115,1,97,0,8,53,52,1,63,0,0,100,3,1,0,0
"3",48,1,37,59,3,0,0,0,2,0,123,0,59,0,117,5,8,166,1,0,0
"4",0,241,0,1,1,1,0,7,0,234,1,1,0,0,160,0,0,0,0,0,0
"5",0,0,0,0,0,0,69,209,0,0,1,0,0,1,0,0,0,0,0,0,0
"6",0,0,0,0,35,0,115,0,0,0,0,0,1,0,0,45,0,0,0,0,0
"7",267,160,0,0,30,140,0,1,1,0,1,24,3,1,1,0,0,13,2,0,0
"8",7,1,0,0,4,214,1,9,0,1,0,0,1,128,33,4,3,0,0,0,2
"9",23,0,2,0,3,85,1,0,176,2,0,1,4,63,0,0,26,160,0,0,1
"10",0,2,0,0,37,95,0,1,11,0,27,13,19,1,1,0,0,0,0,0,0
"11",8,0,0,0,0,0,0,0,1,0,6,0,126,0,82,0,12,2,0,0,0
"12",35,1,0,41,0,0,2,0,53,198,0,0,88,4,0,1,327,0,1,0,0
"13",181,1,411,400,61,6,0,1,0,1,1,5,0,0,0,1,2,0,2,0,2
"14",0,0,121,1,2,2,3,0,97,11,1,0,0,22,0,309,11,0,1,0,1
"15",0,0,145,0,144,17,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0
"16",240,76,1,1,2,0,0,33,1,0,0,0,15,0,0,1,0,15,0,0,1
"17",1,154,1,1,2,0,31,1,118,0,0,85,0,150,0,0,0,0,0,0,0
"18",2,0,0,0,1,6,31,0,1,80,0,0,0,54,1,0,0,0,223,0,1
"19",0,1,1,2,1,0,1,1,0,0,722,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,94,0,0,0,0,2,20,0,0,0,0,20,0,0,0,0,1
"X",0,0,0,1,1,1,3,2,0,1,0,4,2,1,0,0,0,1,1,0,408
