"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",752,58,499,40,300,14,13,388,7,12,13,7,6,8,32,9,126,7,3,5,16
"2",25,15,66,151,12,213,8,3,76,4,14,8,3,183,67,116,7,10,4,9,14
"3",24,71,7,10,122,10,142,9,6,153,14,8,3,5,8,2,62,213,3,2,24
"4",16,18,262,14,9,11,455,6,6,1,3,4,11,3,1,4,4,4,13,5,46
"5",137,8,8,5,1,4,4,2,1,3,2,2,1,1,3,3,2,1,278,0,2
"6",128,6,0,3,2,4,4,1,0,52,4,65,0,2,1,1,1,1,0,0,7
"7",8,13,178,213,14,40,7,12,254,3,5,2,38,3,3,1,6,21,3,1,11
"8",11,14,5,267,7,12,42,1,23,5,11,7,0,1,132,13,7,4,0,2,19
"9",11,17,10,224,8,14,7,193,35,4,7,4,25,6,30,49,9,176,5,4,13
"10",7,10,6,159,7,24,6,17,2,0,8,3,3,31,6,3,29,5,6,1,15
"11",11,236,2,8,7,11,9,7,23,73,8,3,1,5,6,5,8,7,2,2,18
"12",181,16,9,5,47,5,6,62,178,4,7,3,4,6,8,1,132,4,4,442,10
"13",13,505,15,62,470,17,9,12,7,11,9,8,208,33,10,6,5,8,6,1,13
"14",21,158,6,9,13,8,15,127,16,7,372,8,4,7,21,12,7,5,4,15,20
"15",10,188,2,26,8,12,10,3,9,2,9,6,1,251,5,11,6,9,36,0,20
"16",3,4,2,2,4,8,4,2,3,5,2,2,260,1,3,1,117,3,33,1,16
"17",42,15,205,14,7,99,11,125,3,3,6,1,3,5,347,2,6,9,0,3,20
"18",404,6,3,37,5,6,6,4,0,1,2,1,3,1,37,26,1,4,0,83,7
"19",6,14,6,3,7,7,2,1,3,882,3,1,1,2,1,3,1,3,0,1,6
"20",3,5,1,3,3,197,2,0,0,1,2,0,0,0,1,0,1,3,0,0,4
"21",2,5,1,2,0,1,2,1,0,2,51,95,0,27,1,0,1,2,0,5,4
"X",41,37,24,21,14,15,23,9,10,5,5,10,6,29,19,10,5,10,7,5,523
