"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",7,5,8,5,84,201,147,2,4,8,3,7,5,7,226,1,185,2,4,5,1,5,170,0,106,5,5,0,5,2,206,4,208,152,2,2,4,120,18
"2",152,226,10,3,4,3,10,7,9,7,264,4,5,14,7,6,18,4,89,8,2,1,6,1,167,11,5,2,2,3,5,4,1,4,0,143,201,1,16
"3",9,15,10,6,4,11,6,10,229,587,7,10,2,10,105,6,355,3,3,4,4,5,4,3,4,6,462,5,8,3,2,4,3,1,3,0,4,3,15
"4",4,1,1,2,2,3,4,2,7,2,3,2,1,270,2,210,3,126,1,0,0,1,2,0,4,2,1,1,0,2,0,0,1,1,0,2,2,0,2
"5",3,69,73,128,0,2,3,5,4,8,164,4,4,55,1,10,5,0,2,472,1,1,0,1,4,1,0,0,1,3,0,5,0,0,1,0,2,1,5
"6",2,2,152,1,1,1,2,0,2,0,0,3,133,1,10,1,2,1,10,3,0,0,0,1,2,0,0,4,2,1,0,173,0,0,0,0,0,0,13
"7",5,3,38,11,3,2,1,339,0,2,15,5,1,3,43,1,1,1,0,1,2,2,3,2,5,2,3,1,2,289,0,1,1,3,1,1,1,0,5
"8",211,0,2,2,0,2,1,0,2,2,2,158,3,1,5,1,4,0,1,0,0,0,2,2,3,0,1,2,0,0,1,1,1,3,1,1,0,1,0
"9",2,1,0,2,0,1,6,1,2,0,0,19,193,0,3,0,2,1,1,0,1,2,1,3,0,0,4,0,159,0,1,1,0,0,1,1,0,0,5
"10",3,1,4,2,2,1,0,1,1,1,3,0,1,0,2,0,1,1,0,1,0,189,0,1,100,0,0,0,0,0,1,1,2,1,0,2,1,0,2
"11",2,0,2,1,213,3,5,4,776,6,2,6,5,4,3,0,0,2,2,1,0,3,2,3,2,6,1,0,0,2,2,1,0,1,2,2,2,0,6
"12",1,56,2,1,110,0,288,1,1,1,0,0,0,1,1,3,1,1,1,0,0,0,2,2,0,1,0,1,0,0,1,2,0,2,1,0,0,88,4
"13",1,148,0,1,2,0,0,3,2,1,2,1,0,1,1,0,3,0,2,3,0,0,13,479,6,1,2,1,0,2,0,0,1,4,1,1,0,0,3
"14",624,88,2,1,231,2,3,2,3,6,5,7,1,2,8,0,1,4,1,1,0,0,0,4,0,0,0,2,1,2,2,1,1,2,1,0,0,0,3
"15",4,3,1,2,174,4,2,2,1,1,2,3,1,1,0,1,2,171,0,1,352,1,1,1,2,0,1,2,1,3,0,2,0,1,2,0,2,0,6
"16",5,81,2,130,1,1,2,1,2,0,3,0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,46,1,0,0,1,5
"17",1,0,2,2,5,1,2,2,1,2,1,0,2,1,68,1,1,1,43,1,2,0,0,0,1,395,2,1,0,1,4,4,0,3,0,0,0,0,10
"18",37,1,139,1,2,0,1,176,0,2,1,4,7,2,3,2,1,1,1,0,0,0,0,3,0,1,4,0,1,66,0,0,1,0,0,1,1,0,6
"19",4,1,2,2,2,3,0,0,1,0,0,2,1,1,1,0,2,5,0,354,2,0,86,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,3
"20",2,1,0,2,2,2,1,0,0,1,3,342,1,1,2,1,3,1,1,0,0,0,3,2,2,0,1,0,1,0,0,1,2,0,181,1,2,0,1
"21",0,0,2,2,88,3,3,1,1,4,4,4,1,1,3,2,0,345,0,2,104,1,0,1,1,2,1,0,1,0,0,2,0,1,0,1,0,0,6
"22",1,0,1,5,1,0,1,0,0,1,0,0,0,3,1,1,0,3,1,0,0,0,0,1,0,24,1,288,0,0,1,0,0,0,0,0,1,1,4
"23",98,2,0,3,1,1,142,1,2,2,2,1,3,2,0,0,1,4,0,0,1,0,0,0,0,0,1,1,0,0,3,1,2,2,0,0,0,0,0
"24",3,1,0,2,0,594,1,1,3,1,4,0,4,1,2,2,5,2,1,3,2,2,2,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1
"25",0,1,1,203,0,0,1,0,1,0,1,1,0,1,0,0,1,7,1,1,0,1,0,1,2,0,1,36,0,1,0,1,0,0,0,0,0,2,0
"26",0,0,0,0,0,0,0,0,0,1,3,1,0,1,3,170,2,1,1,0,0,2,12,0,2,0,0,1,0,1,0,0,1,0,0,0,3,0,2
"X",11,4,3,9,3,2,6,5,5,5,4,5,8,2,4,2,4,3,2,2,5,3,2,5,3,4,9,2,0,7,4,3,5,4,2,1,1,0,835
