"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",1,234,0,0,608,63,0,0,0,0,0,0,0,0,1,137,0,0,313,0,0,1,0,0,0,171,2,0,0,1,0,1
"2",6,319,3,1,0,124,1,2,0,0,0,0,0,1,14,0,0,321,0,1,0,0,208,0,167,1,1,1,0,0,0,3
"3",0,1,0,0,0,550,1,0,0,0,0,0,0,1,505,0,1,0,0,0,1,0,0,0,216,0,0,309,0,0,0,0
"4",0,0,1,520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",0,0,1,0,1,0,256,0,0,0,2,1,0,410,1,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,2,0
"6",1,61,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",443,0,0,0,0,0,1,0,0,0,0,0,0,56,1,0,1,0,0,1,1,0,0,205,0,0,0,0,0,0,0,1
"8",0,1,0,0,0,0,0,0,0,235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
"9",0,1,1,0,0,0,0,0,332,2,0,0,0,0,1,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,1,942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,142,0,0,199,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,132,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,442,0,0,0,0,0,0,129,0,0,0
"14",0,0,307,1,0,0,0,0,0,493,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,450,0,0,0,0,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0
"17",0,106,0,0,0,0,1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18",253,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
"19",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,475,0,0,0,0,1,1,0,1,0,0,0,1
"21",0,0,0,0,0,0,156,0,0,0,0,273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",294,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,220,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",227,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0
"X",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,536
