"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",963,87,557,3,4,9,8,6,2,5,4,9,3,3,0,1,1,2,4,1,256,3,11,11
"2",241,520,7,26,3,2,6,95,458,5,4,8,0,1,9,2,6,5,3,1,2,2,0,5
"3",12,576,4,4,8,7,5,6,244,5,5,756,1,6,29,8,4,5,3,2,1,232,0,1
"4",1,3,0,0,4,1,582,0,2,0,2,1,1,1,1,2,2,1,2,0,0,1,0,0
"5",76,2,2,7,438,1,4,0,1,0,1,3,0,0,1,1,18,0,579,1,1,1,0,0
"6",0,1,0,524,0,4,3,2,0,4,0,1,0,0,1,0,2,0,4,1,0,0,0,4
"7",7,3,2,2,66,5,3,4,0,1,2,2,2,376,299,1,0,0,4,2,0,1,0,4
"8",3,2,1,4,4,384,1,2,0,2,1,1,0,0,1,1,1,2,0,2,0,1,0,0
"9",9,3,3,12,1,19,1,369,0,0,0,0,2,1,0,1,3,2,2,3,0,0,0,0
"10",1,1,1,0,2,0,0,0,1,0,2,1,290,1,1,0,2,0,2,0,1,0,0,1
"11",0,4,0,0,0,0,3,2,0,1,3,2,0,2,1,1,1127,4,0,1,1,2,2,2
"12",857,0,1,1,1,0,2,0,0,1,0,3,0,0,0,0,1,1,0,2,0,0,0,0
"13",2,26,1,1,1,2,1,1,20,210,1,3,1,7,10,2,3,9,1,508,3,3,0,2
"14",2,1,11,2,1,2,5,1,2,3,2,2,0,0,2,358,2,0,849,5,0,0,0,0
"15",3,3,1,0,4,0,1,0,0,1,642,1,2,0,0,2,0,1,3,1,0,0,12,1
"16",1,0,1,0,262,1,2,2,3,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
"17",1,4,1,111,2,1,1,0,0,1,1,217,0,2,1,0,2,0,1,1,0,153,0,1
"18",2,3,0,0,3,2,6,0,0,0,1,2,1,187,219,2,0,1,19,0,0,0,0,2
"19",2,0,458,0,0,0,9,2,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,2
"20",9,3,0,1,1,623,1,2,1,0,0,3,0,0,0,1,0,0,1,1,0,0,10,2
"21",43,3,0,2,1,1,0,2,1,0,521,2,1,0,0,1,1,1,0,0,0,1,0,1
"22",4,2,1,1,0,0,2,1,0,321,3,1,0,0,0,0,0,0,1,1,0,0,0,1
"23",2,2,2,0,2,0,1,2,1,0,4,1,0,0,0,0,1,248,0,0,0,0,2,1
"24",1,4,2,2,1,0,249,4,2,0,2,2,0,0,0,415,2,0,1,2,0,1,0,0
"25",55,2,1,0,0,0,0,0,0,201,8,0,1,0,1,0,1,0,0,1,0,0,0,1
"26",1,2,12,50,0,1,2,145,0,0,2,6,0,0,1,1,0,0,1,2,0,2,0,1
"X",6,3,6,2,14,4,2,5,2,2,9,9,4,2,6,3,6,7,49,9,2,2,80,726
