"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",850,67,483,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,1,160,0,1,0
"2",213,474,0,20,1,1,0,85,381,0,0,2,0,0,6,1,0,1,1,0,1,1,0,1
"3",1,511,0,1,0,0,0,0,218,0,1,672,0,0,0,0,0,0,0,0,0,204,0,0
"4",0,0,0,0,2,0,522,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"5",44,1,0,0,406,0,0,0,0,0,0,0,0,0,0,0,1,0,457,0,0,0,0,0
"6",0,0,0,438,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,1,0,0,57,0,0,0,0,0,0,0,1,346,270,0,0,0,0,0,0,0,0,1
"8",1,0,0,0,0,345,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9",1,2,1,1,0,15,0,344,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,264,1,0,0,0,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0
"12",498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,1,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,454,0,0,0,0
"14",0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,318,0,0,540,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",0,2,0,104,1,1,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,131,0,0
"18",0,2,0,0,0,0,0,0,0,0,1,0,0,165,204,0,0,0,0,0,0,0,0,0
"19",0,0,428,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,0,0,0,0,475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,299,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"23",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,224,0,0,0,0,1,0
"24",0,1,0,0,0,0,202,0,0,0,0,1,0,0,0,370,0,0,0,0,0,0,0,0
"25",51,1,1,0,0,0,0,0,0,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,11,43,0,0,0,118,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"X",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,553
