"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",955,554,203,19,13,12,21,16,7,6,12,79,9,9,13,8,7,5,10,3,38
"2",236,18,9,13,34,14,22,106,7,6,14,432,90,10,440,6,7,8,12,5,17
"3",19,20,10,18,17,15,47,17,12,234,738,14,577,14,227,11,7,6,7,11,33
"4",7,8,542,8,4,3,15,6,2,0,0,4,1,3,7,3,3,2,5,3,6
"5",55,4,4,6,14,416,9,6,2,7,5,2,8,5,2,10,5,2,477,3,9
"6",44,2,2,3,462,1,5,6,7,3,4,1,0,1,1,3,0,2,5,2,8
"7",12,4,4,8,5,64,663,6,3,6,5,3,4,5,3,2,5,7,5,3,11
"8",7,5,1,380,6,5,14,6,3,6,6,1,2,1,2,1,1,1,3,4,3
"9",9,4,2,23,7,1,2,349,2,3,3,2,2,3,1,4,4,1,1,1,4
"10",2,7,0,3,1,6,16,1,2,0,1,1,3,1,2,3,289,0,2,0,6
"11",9,0,4,6,5,6,5,5,1,3,6,8,6,8,4,986,2,5,5,3,8
"12",682,3,5,2,4,4,0,3,4,4,4,1,0,3,2,3,1,3,0,0,1
"13",7,7,2,3,4,7,8,3,211,494,5,8,7,1,8,2,3,4,2,10,4
"14",11,10,6,9,1,2,7,4,2,16,9,3,2,7,7,6,6,3,739,338,4
"15",9,2,2,4,5,6,3,1,2,1,3,2,1,592,0,2,2,3,4,3,10
"16",4,3,3,2,0,260,0,3,3,3,4,3,1,1,4,1,2,3,3,2,3
"17",5,5,5,6,114,5,4,7,5,155,206,1,5,6,1,2,1,1,1,0,10
"18",7,4,3,5,2,5,384,1,3,2,5,0,23,4,5,1,3,2,22,3,4
"19",4,400,7,1,2,5,3,5,3,3,42,0,0,2,1,1,0,1,4,1,6
"20",7,3,2,552,5,3,2,4,4,1,5,1,2,0,1,3,0,2,4,2,7
"21",23,4,1,1,6,2,2,6,2,4,4,2,2,535,2,4,2,3,0,1,6
"22",7,0,2,2,1,0,2,3,320,3,1,2,2,3,2,0,0,2,0,0,5
"23",3,5,2,3,4,3,25,5,0,0,4,2,2,1,4,1,1,245,0,0,5
"24",5,9,198,2,3,1,0,4,0,10,6,4,7,2,6,2,1,0,3,381,4
"25",60,4,1,1,2,1,1,1,207,2,1,1,3,5,0,1,2,0,0,0,5
"26",1,15,1,2,49,0,2,127,0,1,1,0,3,1,0,0,2,0,2,2,3
"X",12,10,4,16,16,22,37,12,6,12,12,7,8,10,6,10,7,8,38,3,707
