"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",2,0,1,1,0,0,0,0,0,0,0,1,995,1,0,276,2,1,1,0,0,1
"3",0,0,2,0,0,0,0,0,314,0,0,0,1,491,0,0,0,0,0,0,0,0
"4",2,172,0,0,0,0,0,0,3,0,0,0,0,0,330,0,2,0,0,0,0,0
"5",0,2,330,1,0,1,2,0,1,0,227,0,0,1,0,0,0,1,0,0,1,1
"6",0,1,0,0,0,0,0,1,1,0,0,714,1,1,0,0,0,0,0,0,0,0
"7",0,1,2,1,0,35,184,0,0,201,0,0,35,2,0,1,0,1,0,0,0,1
"8",1,72,259,0,0,0,1,0,0,0,1,0,0,1,8,0,0,1,0,0,0,0
"9",331,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1
"10",1,2,1,1,0,0,3,1,1,0,0,0,1,0,0,95,0,360,0,0,0,1
"11",591,2,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0
"12",0,1,0,331,0,1,1,237,0,2,2,2,0,0,0,1,0,0,0,0,88,1
"13",3,0,2,0,0,0,1,118,0,0,0,0,0,1,0,2,0,0,0,0,0,1
"14",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,228,0,0,161,0,2
"15",0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,0,281,0,0,0,0,0
"16",2,1,0,0,200,144,1,1,0,1,0,1,0,0,3,1,0,0,1,0,0,0
"17",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,692,0,0,1
"18",0,1,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3,0,0,3,72,0,1,0,0,0,0,2,3,1,0,0,2,1,0,0,1,4
"20",1,0,0,233,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
"22",0,1,0,46,0,0,0,4,0,0,1,1,2,1,0,0,0,0,0,0,42,0
"2A",2,455,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1
"2B",2,1,1,0,0,0,425,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"Y",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"X",2,0,0,0,0,0,2,2,1,0,0,0,2,3,1,0,0,1,1,0,0,362
