"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1702,1,0,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"2",2,0,900,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"3",1,1,1,0,0,0,741,0,3,0,0,1,0,1,0,0,0,0,0,0,163,1,0,0
"4",1,0,2,0,1,875,1,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0
"5",0,2,0,599,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
"6",1,0,0,0,728,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"7",0,1,0,1,0,1,1,0,0,0,0,0,0,522,480,0,0,0,2,0,0,0,0,1
"8",1,0,0,0,1,0,0,567,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"9",3,0,0,1,1,1,0,0,0,629,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"10",1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,485,0,356,0,0
"11",0,1,45,0,0,2,0,0,0,0,1,897,0,1,0,0,0,0,0,1,0,0,0,0
"12",1,474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"13",1,612,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"14",0,1,2,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,2,0,0,0,0,0,0,635,1,1,0,1,1,0,1,2,0,0,0,0,0,0,1
"16",0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,998,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,1
"18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,1
"19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1124,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,1,0,0,0,0,1,0
"X",2,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,609
