"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",2,1,0,1,0,0,1,0,0,0,0,1,989,1,1,270,4,1,0,0,0,1
"2",0,0,0,0,1,0,0,0,281,0,0,0,1,484,0,0,0,0,1,0,1,1
"3",0,1,1,2,0,25,180,0,0,201,0,0,40,58,0,0,1,0,0,0,0,2
"4",2,2,0,1,0,0,1,0,2,0,1,703,0,2,0,0,0,0,0,0,0,1
"5",2,170,0,0,0,0,0,0,2,0,0,0,0,0,326,0,1,0,1,0,0,0
"6",1,1,338,1,0,1,2,0,0,0,216,2,0,1,0,0,0,0,0,0,0,0
"7",1,2,2,0,0,0,0,0,0,1,1,1,0,1,0,0,517,0,0,152,0,3
"8",1,92,256,0,0,0,0,0,0,0,1,0,1,1,9,0,0,1,0,0,0,0
"9",1,2,0,0,0,0,2,2,0,0,0,2,1,0,0,91,0,375,0,0,0,0
"10",1,1,1,278,0,0,0,5,0,0,1,0,1,1,0,0,0,1,1,0,47,0
"11",0,0,1,331,0,1,0,244,37,1,1,0,0,0,1,1,0,0,1,0,87,0
"12",0,0,1,0,0,0,369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13",1,461,0,1,0,0,61,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
"14",636,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,0
"15",327,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"16",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,705,0,0,1
"17",1,0,0,0,0,0,2,145,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,1,207,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3,0,0,3,69,0,2,0,3,0,0,1,3,2,0,0,1,0,0,0,0,3
"20",1,1,0,0,197,141,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,1
"X",1,0,3,0,0,0,1,0,1,1,0,0,5,3,2,0,0,1,0,0,0,397
