"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",1,412,2,6,607,0,0,0,1,30,4,0,426,66,1,0,16,1,30,0,0
"2",2,113,1,94,2,0,4,301,9,1,234,1,0,2,35,50,0,0,1,0,1
"3",0,1,1,381,1,57,1,12,0,0,95,180,0,40,1,0,21,2,0,52,0
"4",175,2,1,4,39,0,1,48,137,0,2,1,0,0,3,0,125,0,0,257,0
"5",1,158,1,18,0,0,0,1,0,0,0,0,0,274,0,68,1,0,26,0,0
"6",42,235,0,2,0,0,1,0,15,147,1,1,0,1,0,2,54,169,0,0,0
"7",109,0,147,1,0,346,0,196,0,0,0,0,0,1,150,0,0,1,0,0,0
"8",0,38,0,1,102,1,178,0,0,1,6,0,1,0,88,124,0,0,0,0,1
"9",300,0,0,12,1,1,0,0,0,1,0,0,0,0,26,52,124,0,4,78,0
"10",0,0,450,10,0,1,176,0,0,2,51,18,0,46,1,1,0,0,7,12,0
"11",2,1,0,253,0,1,388,1,2,1,4,181,0,0,0,0,0,0,0,0,40
"12",2,0,156,0,0,0,1,0,290,0,0,1,1,0,0,0,0,0,0,0,0
"13",2,0,43,117,0,226,0,0,69,0,2,0,41,53,0,1,0,14,0,9,0
"14",566,0,143,3,0,3,0,259,1,0,1,0,2,0,1,1,0,0,0,0,0
"15",68,0,224,0,232,1,0,2,2,2,0,0,0,0,0,0,61,0,0,0,1
"16",1,0,0,1,1,0,1,1,0,917,0,0,1,0,0,1,0,1,0,0,0
"17",0,22,0,0,0,0,0,0,9,0,0,38,0,0,148,46,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,25,0,0,0,20,1,0,0,0,174,0,0,1
"19",476,0,0,0,0,0,135,66,49,3,1,19,0,0,0,90,1,1,54,1,0
"20",130,0,0,1,0,0,0,0,0,199,0,0,0,1,0,2,0,0,302,0,0
"X",47,3,14,0,4,1,0,3,0,2,0,2,0,1,1,0,1,5,0,3,389
