"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",1,1,0,1,0,1,1474,3,0,131,0,1,41,0,0,1,98,1,608,0,64
"2",0,1,801,0,0,0,1,1,2,0,0,0,179,1,78,0,0,1,0,0,1
"3",0,1414,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13
"4",1,1,0,0,111,936,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0
"5",48,1,0,1043,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"6",0,0,1,0,48,0,0,0,2,1,0,541,0,1,3,0,96,0,0,0,0
"7",0,1,0,0,1,0,2,0,0,436,1,1,2,1,548,2,39,0,0,0,1
"8",0,0,0,0,1,1,1,0,1000,0,0,0,0,0,0,0,0,0,0,0,3
"9",445,0,0,1,3,1,2,0,1,1,0,1,0,0,1,0,219,0,1,0,1
"10",1,0,1,0,0,0,1,1,0,0,1235,0,0,1,1,89,133,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,455,0,0,0,0,1
"12",1,0,0,0,471,0,0,33,0,0,1,0,0,1,1,0,0,0,0,0,1
"13",542,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"14",0,0,0,1,380,1,1,0,1,0,146,0,2,0,0,1,2,2,1,0,0
"15",0,0,0,0,1,0,0,0,5,0,1,0,0,488,0,1,0,0,1,0,1
"16",1,0,0,0,0,0,0,382,0,0,0,0,0,112,0,0,0,0,1,0,1
"17",0,88,3,0,0,1,0,0,0,0,0,0,366,0,0,0,0,22,0,0,1
"18",0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,388,0,0,4
"19",0,1,0,0,0,0,0,455,0,0,0,0,0,0,0,0,1,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,247,0,0,0,0,1,0,246,0,0,0,0
"X",1,0,0,1,1,0,2,0,1,0,0,0,0,0,42,0,0,2,0,0,510
