"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",434,0,0,335,1,37,0,0,2,308,2,0,95,2,0,1,0,2,0,0,0,2,0,2
"2",0,371,0,1,3,0,0,1,0,1,489,2,1,0,0,0,0,1,24,0,1,342,0,0
"3",17,147,0,2,3,1,2,0,1,1,0,258,0,450,0,0,5,1,0,0,0,5,1,0
"4",0,0,0,0,0,1,171,0,1,1,0,2,0,0,0,290,0,331,0,0,0,0,0,0
"5",123,1,2,0,2,1,1,0,503,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
"6",3,3,0,1,3,0,524,0,1,0,1,1,90,2,1,0,1,0,0,192,0,373,0,0
"7",3,4,0,376,0,67,0,2,1,395,0,1,0,0,5,0,0,14,0,1,0,1,10,0
"8",1,1,480,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"9",0,0,1,1,0,1,0,163,0,0,437,0,0,0,1,1,0,81,92,0,0,0,0,2
"10",59,0,0,0,0,0,110,0,0,1,0,5,1,0,0,0,0,9,109,2,0,1,0,0
"11",130,0,1,0,102,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"12",2,0,0,0,674,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,4
"13",1,1,0,0,0,0,0,0,0,0,1,2,0,1,529,0,266,0,1,0,135,1,0,0
"14",129,2,17,2,2,2,0,0,171,0,0,430,80,0,0,0,0,0,45,0,0,2,0,0
"15",0,0,35,0,0,453,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0
"16",1,247,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,3,0,370,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,1,0,0,1,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"X",1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,487
