"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",319.02739726,0.00684931506849,0.47203196347,0.333333333333,1.1803652968,2.27054794521,2.18721461187,98.5068493151,0.520547945205,242.430365297,1.17351598174,7.71637312459,0.638698630137,2.0,1.51369863014,0.431278538813,0.680365296804,1.78424657534,0.0205479452055,13.1803652968,0.413698630137,1.5,106.970547945,60.5136986301,360.840182648,0.013698630137,0.00684931506849,0.013698630137,0,0.860730593607,100.006849315,3.89497716895
"2",3.33333333333,0.5,1.4,1.0,2.2,0.583333333333,340.35,1.0,0.5,2.25,1.0,436.79047619,0.583333333333,405.5,0.5,1.2,0,0.25,0.833333333333,0.25,91.9333333333,0.5,0,0.95,0.333333333333,0.25,0,0.5,1.48333333333,0,4.03333333333,0
"3",0.5,1.5,1.0,0,1.5,0,1.0,0.5,0.5,1.0,11.0,0,442.333333333,2.5,474.166666667,0.5,1.0,0.5,0,2.0,0.5,0,17.2,0.5,0,0,0,0,0,0,0,2.0
"4",3.5,1.33333333333,0.666666666667,0,532.75,1.33333333333,0.5,0,302.5,1.0,0.5,0,0,0.5,0.25,0.5,0,0,0.5,1.08333333333,0,0,0,0,0.5,0,0,0,0,0,0,0
"5",0.333333333333,1.0,2.5,0.5,0,476.633333333,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,1.0,0,0,0,1.0,274.333333333,0,0,0,0
"6",4.0,488.0,204.2,0,62.0,1.2,0.45,96.1666666667,0,427.68452381,0.5,0,1.5,0,0,0,0,0,0,2.5,1.5,1.53333333333,0.5,0.2,1.0,1.0,0,0,0,0,0,1.5
"7",333.416666667,0.5,1.0,1.0,1.16666666667,0.5,0,0,0,4.35714285714,1.33333333333,0,1.0,0.25,0,2.83333333333,0,0.5,0.5,449.583333333,0,0,0.25,217.75,1.5,0,0,0,0,0,0,1.0
"8",1.14285714286,159.0,345.1,0,0.5,0.47619047619,0.5,0,0.142857142857,0,1.0,0.25,1.25,0.47619047619,0.5,0,0.47619047619,0,0,0,0.333333333333,0.142857142857,0,0,0.5,0.5,0,0,0,0,0,2.30952380952
"9",0.625,0.5,0.5,171.616666667,174.666666667,1.5,513.666666667,1.0,0.333333333333,0.125,0.583333333333,0.5,0,1.0,0,1.5,0,0.5,0,0.166666666667,0,0,0,0,0.333333333333,0,0,0.5,0.5,7.0,0,0.166666666667
"10",0,0,1.0,0,0.5,1.0,0,0,0,0.833333333333,0,0.5,8.08333333333,1.0,0.666666666667,0,0.5,0,0,0,0,0,64.0,0.5,0.5,0,1.0,0.5,118.2,115.666666667,0,0.666666666667
"11",0.833333333333,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.666666666667,0,240.166666667,0,0.666666666667,2.0,0,0,0,0,0,0,0.5,0,0,0,0,0.5
"12",0,0.5,0.5,0.45,0,0.5,0.5,0,0,1.0,785.416666667,0.5,0,0,1.0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0
"13",0.5,1.33333333333,0.5,0.5,12.6666666667,0.5,0.333333333333,0,0,1.5,0.5,1.5,1.0,1.83333333333,0,531.833333333,0.5,0.333333333333,290.0,0,0,1.0,0,0,0,138.5,0,0.5,1.0,0,0,0.5
"14",507.583333333,100.0,0.9,0.5,1.0,0,0.7,312.383333333,0.5,4.0,1.0,0,0.5,1.0,0.5,0,0.5,0,1.0,0,0.5,1.5,10.75,0.25,0,0,0.5,0.166666666667,0.5,0.5,0,1.0
"15",2.77739726027,1.00684931507,0.013698630137,1.53333333333,0.013698630137,172.853881279,1.02054794521,0.756849315068,1.18721461187,0.34703196347,0.506849315068,0.00684931506849,0.013698630137,0.333333333333,2.51369863014,0.547945205479,0.013698630137,297.200913242,0.0205479452055,2.84703196347,0.34703196347,0,0.920547945205,0.013698630137,0.00684931506849,0.013698630137,94.1735159817,0.013698630137,0,0.027397260274,0.00684931506849,1.56164383562
"16",0,0,0,0,0.333333333333,0,0.5,0,0.25,0.875,0.5,0,0.25,101.0,0,0,0,0,0,0,154.833333333,0,0,0,0,0,0.333333333333,0,0,0,0,0.666666666667
"17",0,0.333333333333,0,1.0,0,0,0,0,0.25,0.5,0,0,0,0,0.25,0.5,0,0,0,0,0.5,392.666666667,0,0.5,1.0,0,50.0,0,0.8,0,0,0
"18",0,0.5,0,315.2,0.5,0.5,0,0,0.5,0,3.33333333333,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0,0,0.5,0,1.0,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,0.666666666667,0,0,0,0,0,0.166666666667,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,3.16666666667
"X",1.125,0.5,0,0.2,0,2.36666666667,0.833333333333,0,0,0.625,0,0,0,1.33333333333,0,0.5,0.666666666667,0,1.5,0,1.66666666667,0,0,0,0,0,0,0,0,1.0,0,512.833333333
