"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",8,2,2,5,121,11,2,10,13,506,482,14,5,691,30,2,13,1,6
"2",5,4,0,9,0,557,7,500,3,4,13,5,3,6,731,3,2,1,2
"3",1,1,2,3,1,12,592,5,10,3,3,0,0,24,1,16,13,530,3
"4",276,361,4,4,0,4,4,0,2,8,6,0,1,2,2,0,345,0,0
"5",0,0,2,940,4,3,5,8,8,2,2,0,2,0,1,2,2,0,1
"6",1,3,1,3,121,1,4,5,10,9,8,7,4,1,4,0,613,5,764
"7",3,3,2,5,0,3,2,4,6,606,665,6,1,2,0,4,5,1,11
"8",2,0,2,3,1,7,1,1,610,4,2,6,7,1,3,0,4,2,14
"9",224,4,1,4,4,5,1,256,6,5,2,6,8,2,656,1,9,0,0
"10",135,3,1,141,0,0,4,0,5,7,2,4,0,81,1,2,1,11,2
"11",2,1,2,0,0,321,3,1,3,1,1,1,2,0,0,1,1,0,0
"12",0,0,1,3,0,3,0,1,3,1,1,5,2,1,3,926,3,0,2
"13",2,0,0,2,2,5,3,367,2,1,1,2,795,0,2,1,9,0,3
"14",2,0,569,2,373,3,3,6,117,1,2,0,4,19,1,1,3,1,13
"15",0,3,1,0,2,7,4,5,114,8,5,4,3,4,5,1,585,0,1
"16",2,2,1,1,0,312,2,0,4,1,1,1,0,2,1,1,5,1,10
"17",0,2,0,4,1,1,459,3,64,1,1,0,1,1,1,1,2,0,1
"18",0,1,0,1,0,2,1,390,2,0,0,3,2,0,0,9,2,0,0
"Y",0,0,0,1,0,0,0,0,0,0,1,7,0,1,0,2,0,0,0
"X",4,5,1,12,2,9,6,2,9,6,9,632,4,3,1,2,2,1,1
