"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",30,333,0,240,0,1,41,0,154,206,0,66,2,32,0,0,54,84,71,0,0
"2",8,154,0,0,1,0,122,150,61,102,95,0,129,2,0,3,83,166,250,0,0
"3",54,30,0,0,207,113,118,0,0,8,69,80,16,1,0,69,190,0,0,0,0
"4",180,0,399,53,18,0,0,1,0,0,0,0,4,0,159,5,0,0,3,0,0
"5",0,0,0,1,0,191,0,3,0,246,1,0,0,0,304,4,2,0,0,0,0
"6",0,2,40,520,1,4,415,204,0,0,1,0,1,1,1,0,24,75,0,0,1
"7",20,23,0,0,0,4,69,1,95,0,0,259,122,100,0,0,268,0,0,0,0
"8",0,0,145,0,294,16,0,35,0,0,0,0,1,0,0,0,1,0,0,0,0
"9",181,0,0,0,66,45,228,0,280,0,10,43,6,0,0,0,0,0,0,0,0
"10",117,74,1,38,0,1,7,4,0,0,2,0,45,0,0,0,0,20,0,0,0
"11",7,0,21,0,37,0,0,43,0,1,0,0,0,137,0,0,0,0,0,0,0
"12",1,0,0,0,0,0,0,1,0,0,771,0,0,0,0,0,0,1,0,0,0
"13",0,1,113,0,0,123,1,0,283,23,1,0,0,80,0,320,24,0,0,0,0
"14",1,1,0,0,208,16,81,56,0,96,45,0,26,166,0,55,0,0,211,0,0
"15",321,148,0,0,0,0,3,90,0,0,0,1,0,1,0,0,0,12,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,80,0,109,0,64,0,7,0,0,0,0
"17",0,393,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,1,38,216,0,0,11,1,28,11,12,0,1,0,0,0,0,0,0
"Y",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,483
