"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",10,6,10,441,5,6,482,3,5,3,3,8,3,10,695,5,5,120,6,1,6
"2",68,3,6,6,6,444,9,3,2,3,3,4,4,598,4,12,0,1,478,1,10
"3",5,4,186,4,4,9,3,2,4,1,3,0,618,2,27,17,0,1,3,287,3
"4",605,4,4,9,3,2,0,340,4,0,4,2,1,1,1,1,1,1,0,0,2
"5",6,6,3,5,13,1,4,0,3,195,685,1,1,1,2,3,1,1,1,3,2
"6",689,2,6,5,3,10,4,6,9,3,4,3,1,0,6,1,2,113,536,256,6
"7",20,6,3,550,4,3,594,1,2,3,5,0,0,2,6,3,0,3,10,1,6
"8",41,4,11,0,567,5,1,0,4,2,1,1,0,2,3,2,1,0,18,2,8
"9",196,4,220,1,4,4,1,1,3,2,3,4,2,542,4,2,0,1,1,0,1
"10",137,0,2,0,0,0,1,1,149,1,3,0,3,1,74,1,0,0,2,10,3
"11",1,2,0,2,1,0,1,1,2,0,0,0,2,2,0,1,314,0,0,0,1
"12",2,2,0,3,4,1,0,1,1,1,2,1,0,4,3,949,1,0,3,1,4
"13",5,962,156,4,2,4,1,3,3,2,45,4,2,5,2,1,1,0,2,2,7
"14",55,8,3,0,25,4,4,118,514,142,208,1,5,1,14,0,2,1,7,0,4
"15",2,4,6,6,40,4,3,70,3,1,1,503,74,1,7,1,1,0,1,1,2
"16",5,4,2,1,3,302,1,2,1,1,0,0,2,1,1,1,0,1,3,1,2
"17",1,1,0,2,4,0,1,62,5,462,1,0,4,0,4,0,1,1,2,0,1
"18",3,0,367,2,0,3,0,1,0,1,2,1,0,2,3,8,0,0,0,0,2
"Y",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,6
"X",6,5,0,1,6,8,3,1,4,2,3,1,3,1,3,0,1,2,3,0,638
