"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",4.71666666667,2.27916666667,3.16904761905,340.3,3.05,2.05,376.255357143,1.05,2.22916666667,1.55,1.33333333333,3.70833333333,2.0,2.53571428571,442.720833333,1.33333333333,0.785714285714,100.392857143,3.73333333333,0.05,3.33333333333
"2",29.1833333333,1.03333333333,1.8,2.58333333333,2.91666666667,377.583333333,3.83333333333,0.75,0.75,1.25,0.866666666667,1.35,3.0,490.523809524,1.58333333333,2.61666666667,0,0.5,373.816666667,0.25,3.63333333333
"3",3.0,1.83333333333,149.333333333,2.83333333333,3.0,3.83333333333,2.0,0.75,1.75,0.5,2.0,0,471.083333333,0.666666666667,17.7,11.0,0,1.0,1.83333333333,261.166666667,2.5
"4",518.0,2.33333333333,1.66666666667,4.16666666667,1.16666666667,1.5,0,284.5,2.83333333333,0,1.5,1.5,1.0,0.5,0.5,0.5,0.5,0.333333333333,0,0,1.25
"5",3.17619047619,3.14285714286,1.5,2.28571428571,1.80952380952,1.0,0.842857142857,0,0.916666666667,163.783333333,561.476190476,0.25,0.5,0.5,0.45,2.5,0.25,0.5,0.333333333333,0.95,0.5
"6",543.25,1.5,3.83333333333,3.5,0.916666666667,2.55952380952,1.25,1.66666666667,3.25,1.58333333333,1.66666666667,0.666666666667,0.5,0,2.14285714286,0.25,0.333333333333,94.6666666667,422.976190476,201.880952381,4.25
"7",2.8,4.33333333333,2.5,430.0,1.41666666667,1.66666666667,492.75,0.5,1.5,1.5,2.83333333333,0,0,1.5,3.25,1.33333333333,0,0.75,3.02380952381,0.5,2.83333333333
"8",34.1111111111,1.5,2.50925925926,0,455.933333333,1.5,1.0,0,1.11111111111,0.111111111111,0.333333333333,0.333333333333,0,0.75,0.611111111111,0.666666666667,0.333333333333,0,1.59259259259,1.03703703704,1.83333333333
"9",169.433333333,3.5,166.166666667,0.25,2.5,1.66666666667,1.0,0.166666666667,1.5,1.0,2.0,1.85,1.0,430.333333333,2.83333333333,0.5,0,0.5,0.333333333333,0,0.5
"10",118.5,0,0.75,0,0,0,0.5,1.0,115.05,0.05,2.0,0,0.716666666667,0.5,59.55,1.0,0,0,1.5,8.33333333333,1.16666666667
"11",0.333333333333,0.666666666667,0,0.833333333333,0.5,0,0.333333333333,0.5,1.33333333333,0,0,0,0.333333333333,0.333333333333,0,0.5,244.833333333,0,0,0,0.333333333333
"12",1.1,1.2,0,2.0,1.83333333333,0.333333333333,0,0.166666666667,0.2,1.0,0.75,0.1,0,1.41666666667,1.41666666667,763.45,0.2,0,0.866666666667,0.333333333333,1.5
"13",2.33333333333,782.952380952,125.0,2.16666666667,1.0,1.72619047619,0.5,1.5,1.25,1.5,38.0833333333,1.22619047619,1.5,3.83333333333,0.642857142857,0.5,0.142857142857,0,1.5,0.642857142857,3.83333333333
"14",49.0,4.66666666667,1.33333333333,0,19.7333333333,3.0,2.0,86.0,441.166666667,131.0,188.75,0.5,3.5,0.5,10.75,0,1.5,0.5,4.5,0,1.33333333333
"15",1.5,1.83333333333,2.86666666667,2.66666666667,34.6666666667,0.833333333333,2.0,58.6666666667,1.0,0.5,0.5,409.791666667,60.1666666667,0.5,2.025,0.5,1.0,0,0.5,0.5,1.0
"16",2.38333333333,0.883333333333,0.3,0.05,0.55,252.3,0.05,0.3,0.25,0.05,0,0,1.0,0.5,0.166666666667,0.166666666667,0,0.5,1.0,0.05,0.333333333333
"17",0.333333333333,0.5,0,1.0,3.25,0,0.5,47.0,0.45,388.116666667,1.0,0,0.2,0,0.2,0,1.0,0.5,0.75,0,0.5
"18",1.1,0,306.833333333,1.5,0,1.5,0,0.333333333333,0,0.5,1.5,0.1,0,0.833333333333,0.7,3.33333333333,0,0,0,0,1.0
"Y",0,0,0,0.166666666667,0,0.25,0,0,0.5,0,0,0.5,0,0,0,0.666666666667,0,0,0,0,2.41666666667
"X",2.85,2.5,0,0.166666666667,2.5,2.75,0.833333333333,0.5,1.80555555556,0.388888888889,1.5,0.1,0.833333333333,1.0,1.30555555556,0,0.5,1.5,0.833333333333,0,502.833333333
