"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",405,5,485,3,407,87,7,200,20,6,2,4,24,5,47,5,9,106,5,102,9
"2",618,126,336,14,8,11,370,172,88,160,27,40,8,11,13,91,47,244,61,0,6
"3",141,4,43,183,6,261,12,5,83,241,2,292,3,81,2,1,38,4,5,10,5
"4",10,512,7,5,119,3,221,5,0,2,9,2,179,30,5,1,6,5,2,4,4
"5",12,4,2,280,5,9,723,4,16,4,8,2,9,8,1,5,2,1,5,3,51
"6",663,64,33,7,758,7,11,3,40,6,1,3,4,70,11,9,9,86,252,1,17
"7",89,5,254,16,3,328,3,109,161,7,0,0,5,0,262,8,174,3,2,513,4
"8",10,210,19,26,6,5,2,1,6,3,5,1,2,424,5,13,5,7,29,0,4
"9",501,77,79,377,4,66,3,545,3,4,4,1,211,16,18,1,12,5,2,5,5
"10",13,2,1,1,44,6,1,0,0,1,1,2,152,0,0,0,213,1,4,0,2
"11",3,29,5,3,1,1,1,0,11,3,2,49,0,3,187,51,0,1,1,5,1
"12",12,20,4,5,7,2,2,3,3,1014,3,1,1,1,3,6,2,4,0,1,4
"13",8,144,7,188,5,5,7,365,10,4,550,3,4,5,46,57,3,2,4,74,8
"14",400,4,3,32,4,7,4,2,0,6,66,236,2,55,133,98,37,0,34,119,5
"15",10,7,180,7,6,4,2,6,469,2,1,2,47,1,3,111,5,15,1,1,8
"16",26,186,0,2,0,0,1,1,2,102,0,1,1,2,0,2,2,0,0,1,2
"17",8,17,477,3,2,1,4,4,2,3,0,1,5,5,1,69,5,0,0,1,1
"18",4,1,6,333,7,16,1,15,3,10,2,1,0,30,1,1,19,1,2,2,3
"Y",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,7
"X",110,54,26,19,9,7,22,5,10,7,3,14,1,44,36,12,5,16,1,3,580
