"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",235,10,57,24,81,2,2,3,3,1,61,275,1,2,114,10,3,2,5,1,8,3,3,1,5,2,2,1,57,138
"2",40,8,3,232,5,6,21,26,4,5,9,0,91,315,3,3,1,10,9,55,2,127,116,159,3,0,11,1,0,3
"3",7,3,2,0,6,1,4,28,372,0,240,2,75,2,1,97,4,5,2,1,5,2,134,0,0,0,9,57,2,5
"4",2,0,1,1,2,423,2,20,1,1,26,2,31,0,0,1,104,0,4,0,1,0,1,0,3,0,80,0,1,4
"5",3,1,6,1,4,0,5,8,0,327,14,1,4,0,178,0,0,1,1,0,196,0,2,2,1,0,1,0,137,6
"6",0,2,0,2,0,7,0,1,1,1,3,0,0,2,2,0,0,1,3,2,1,1,1,0,0,305,0,182,0,1
"7",52,361,33,3,2,1,2,0,1,1,1,0,0,0,1,1,1,1,0,0,0,2,1,0,0,1,0,0,0,1
"8",0,0,298,0,2,0,2,5,1,1,1,0,4,0,0,57,0,0,1,0,0,0,1,0,0,0,2,0,0,2
"9",270,70,45,2,2,0,0,0,2,3,1,1,2,0,0,2,2,0,2,0,0,2,0,0,3,0,0,0,2,2
"10",1,3,1,0,0,0,1,1,0,175,0,0,1,2,0,0,7,2,1,0,180,0,0,0,0,0,0,0,1,4
"11",0,0,4,0,0,0,1,0,1,4,1,0,2,0,0,1,0,302,0,0,0,1,3,1,0,0,3,0,0,2
"12",0,0,14,0,0,2,0,17,2,0,0,0,0,0,0,1,6,1,4,0,0,282,0,0,2,0,0,0,0,20
"13",2,0,0,0,0,2,249,1,0,8,1,0,0,0,0,0,1,0,2,23,0,0,0,1,0,0,0,2,0,3
"14",1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,32,0,0,0,0,0,298,0,0,1,0,1
"15",3,0,0,0,1,2,0,1,0,0,1,2,0,1,1,0,306,1,0,2,2,0,0,0,1,0,0,0,2,3
"1A",2,2,25,193,545,6,19,0,0,4,3,7,67,3,13,8,6,1,7,6,8,8,153,1,1,2,12,0,8,23
"24",0,0,2,0,1,0,0,0,0,1,0,1,0,1,105,0,0,1,0,0,0,0,2,0,0,0,0,0,45,0
"18",4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,277,0,0,1,0,0,2,0,1,0,0,0
"1B",14,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"20",1,0,0,1,0,0,1,1,0,2,2,1,291,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
"21",1,12,4,0,0,1,0,1,0,1,0,1,0,1,0,140,2,0,1,0,0,0,0,0,1,0,0,0,0,0
"22",1,1,0,10,0,1,0,16,2,0,22,0,6,1,1,0,1,1,1,0,0,1,2,0,0,0,32,0,0,2
"23",3,116,59,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"25",0,0,58,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"26",2,2,45,0,1,0,0,0,1,0,0,0,0,0,0,53,1,0,1,1,0,1,50,0,0,0,0,0,0,0
"27",0,0,2,0,2,0,7,1,0,3,1,0,0,0,0,2,0,0,159,0,4,0,4,0,0,0,0,0,1,1
"28",1,0,0,0,1,1,175,1,0,3,3,0,0,0,0,1,0,4,1,1,2,0,0,0,0,0,0,2,0,3
"Un",109,126,149,80,173,77,367,37,5,84,107,45,112,54,61,68,92,94,113,15,117,120,229,44,34,51,28,66,44,138
"Z",2,2,4,1,4,11,98,300,1,50,5,0,2,1,4,2,0,4,3,146,3,1,1,32,0,0,10,0,1,11
"4A",6,5,1,3,0,3,3,5,3,4,2,6,2,3,5,2,3,16,2,1,3,0,3,2,1,1,1,0,1,248
"17",0,0,2,0,1,0,4,42,0,1,217,1,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,1,0,0
"19",1,1,0,1,0,1,5,1,2,1,1,0,0,1,7,0,2,0,210,0,1,0,2,0,67,0,0,0,0,2
