"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",161,6,40,9,53,0,0,0,0,0,39,206,0,0,72,7,1,1,1,0,5,0,1,0,0,2,0,0,41,93
"2",27,1,1,179,0,1,8,23,1,2,2,0,67,236,1,1,1,2,2,50,1,88,77,121,0,0,5,0,0,1
"3",3,1,1,0,0,0,0,24,332,0,205,1,56,0,0,78,0,0,2,0,2,0,106,0,0,0,8,46,2,0
"4",0,0,0,0,0,292,0,17,0,0,19,0,11,0,0,0,85,0,1,0,0,0,1,0,1,0,64,0,0,0
"5",0,0,0,0,0,0,2,2,0,245,7,0,0,0,145,0,0,0,0,0,109,0,1,0,0,0,0,0,113,0
"6",0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,208,0,123,0,0
"7",41,288,16,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"8",0,0,221,0,0,0,0,1,1,1,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",205,50,35,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,129,0,0,0,1,0,0,1,0,0,0,140,0,0,0,0,0,0,0,0,0
"11",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,265,0,0,0,1,0,0,0,0,0,0,0,0
"12",0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,220,0,0,0,0,0,0,0,2
"13",0,0,0,0,0,0,183,0,0,5,1,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,28,0,0,0,0,0,264,0,0,1,0,1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,1,0
"1A",0,1,4,133,427,0,0,0,0,0,1,0,31,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3
"24",0,0,0,0,0,0,0,0,0,0,0,1,0,0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
"1B",13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,2,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,8,0,0,0,14,0,0,20,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,29,0,0,0
"23",2,100,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"25",0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,46,1,0,0,0,0,0,39,0,0,0,0,0,0,0
"27",0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,128,0,0,0,2,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,146,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Un",4,10,41,5,61,1,32,8,1,6,23,0,6,4,9,11,0,31,25,3,2,6,6,9,10,0,1,0,11,12
"Z",0,1,2,0,1,7,80,229,0,43,1,0,1,0,3,1,0,2,1,129,0,1,0,23,0,0,8,0,0,0
"4A",2,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,174
"17",0,0,0,0,0,0,0,34,0,0,169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,56,0,0,0,0,1
