"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",163,6,15,13,131,20,32,21,83,9,168,8,8,72,104,3,9,38,2,4,125,3,1,135
"2",32,67,12,100,12,12,92,229,10,12,10,8,155,7,52,321,128,3,18,2,0,15,0,4
"3",15,2,8,499,81,10,3,1,7,4,8,4,33,260,4,0,0,3,150,1,2,3,0,8
"4",11,7,575,7,20,1,3,3,3,2,3,4,41,26,4,3,0,0,3,2,0,0,0,4
"5",7,10,6,5,12,6,3,6,12,490,325,2,5,7,5,6,1,3,1,1,0,2,0,5
"6",6,1,8,4,1,2,1,3,5,1,4,480,0,3,4,2,1,1,1,0,2,0,0,3
"7",5,0,3,3,0,380,2,1,6,1,5,6,0,2,34,0,11,0,1,0,17,1,0,4
"8",5,1,2,3,5,2,290,4,1,2,1,3,3,0,1,0,1,42,13,0,0,3,0,2
"9",3,4,1,2,4,107,4,3,0,2,1,0,2,1,105,0,157,0,2,0,8,0,0,3
"10",3,3,1,2,0,115,2,0,2,213,1,1,0,6,3,2,1,14,4,5,1,2,12,4
"11",2,1,1,3,4,1,0,1,1,2,1,2,1,3,2,1,4,1,0,259,0,36,0,2
"12",19,6,4,2,2,2,1,2,0,1,3,4,0,1,279,1,0,6,2,1,2,1,0,5
"13",2,272,7,4,3,1,1,2,3,2,2,4,3,2,1,0,0,2,0,3,1,0,0,3
"14",5,70,1,0,29,4,4,1,4,5,1,216,2,7,2,4,5,2,2,1,2,1,1,5
"15",117,8,5,2,5,4,6,3,178,5,5,2,3,3,1,0,4,2,3,0,0,1,0,1
"1A",154,5,5,55,7,8,50,181,309,4,3,1,4,5,6,7,7,10,13,1,0,3,0,16
"24",0,0,0,2,2,0,1,2,1,0,147,0,1,1,0,0,0,1,0,0,1,2,0,1
"18",3,1,2,2,255,1,1,3,1,8,1,1,2,0,3,1,1,2,1,0,0,0,0,1
"1B",1,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,14,1,0,0
"20",3,0,1,1,290,3,2,1,1,3,0,0,3,0,2,1,1,1,2,0,0,2,0,1
"21",1,1,1,4,1,0,157,1,0,1,1,1,1,0,0,0,1,0,0,0,2,1,0,0
"22",0,1,0,1,6,1,0,10,0,3,0,2,46,22,0,2,0,0,0,0,0,1,0,1
"23",1,1,3,2,0,1,172,0,1,2,1,3,1,1,3,0,0,3,0,0,0,0,0,3
"LG2",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,59,0,0,0,0,0,0
"26",2,2,0,50,2,4,44,2,4,1,0,0,1,2,2,0,1,2,47,1,0,2,0,0
"27",4,0,1,2,145,2,2,0,4,4,0,3,0,0,0,1,0,1,4,2,0,1,0,1
"28",3,3,1,3,4,1,2,0,0,5,2,2,0,3,1,0,1,1,1,0,1,159,0,3
"Un",142,97,107,98,192,123,190,76,188,123,104,140,64,79,179,58,60,80,162,20,37,143,4,127
"Z",267,296,17,5,6,3,8,3,3,6,9,6,46,6,1,1,0,4,2,2,0,2,0,13
"4A",8,6,6,6,10,7,1,4,6,7,5,3,5,1,6,2,4,1,1,3,1,4,1,251
"17",253,6,7,6,2,5,4,1,5,7,3,2,1,3,5,0,0,4,0,0,0,1,1,4
"19",10,67,3,2,190,5,3,4,3,2,5,4,1,11,2,0,9,1,4,2,2,1,0,6
