"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",118,0,0,1,84,11,20,10,46,1,113,1,1,39,77,0,0,26,0,1,80,0,0,92
"2",23,49,2,71,1,1,66,181,0,3,1,0,116,3,28,231,85,1,7,1,0,1,0,0
"3",1,0,0,429,57,0,0,0,1,1,2,0,31,217,0,0,0,0,128,0,0,0,0,0
"4",1,0,414,0,12,0,0,0,0,0,0,1,33,18,0,0,0,0,0,1,0,0,0,0
"5",1,1,0,2,2,0,0,0,1,326,256,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,1,0,0,0,1,0,0,0,323,0,2,1,0,0,0,1,0,0,0,0,0
"7",0,0,1,1,0,292,0,0,2,0,0,0,0,0,21,0,5,0,0,0,14,0,0,0
"8",1,1,0,1,1,1,210,0,0,1,0,0,0,0,0,0,0,27,12,0,0,0,0,1
"9",1,1,1,0,3,84,1,0,0,0,0,0,0,0,70,0,121,0,0,0,7,0,0,0
"10",0,0,0,0,0,79,0,0,0,156,1,0,0,1,0,1,0,10,0,0,0,0,10,0
"11",0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,223,0,25,0,0
"12",16,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,1,1,0,0,0,0,3
"13",1,195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,60,0,0,23,0,0,0,1,1,0,181,0,3,0,1,1,0,0,0,0,1,1,1
"15",83,0,0,0,2,1,0,0,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1A",111,0,1,1,1,0,28,131,235,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
"24",0,0,0,0,1,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,1,0,0
"18",1,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1B",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0
"20",0,0,0,0,207,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,1,4,0,0,8,0,0,0,0,41,20,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
"26",1,0,0,36,0,0,37,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"27",1,0,0,1,113,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"28",1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,133,0,0
"Un",6,9,2,6,29,2,19,5,54,5,20,7,13,21,4,4,4,42,3,2,0,51,0,8
"Z",214,248,7,0,1,1,1,0,1,1,3,1,32,1,1,0,0,2,0,1,0,1,0,0
"4A",0,1,0,0,2,0,0,0,0,0,1,0,2,0,1,2,1,0,0,1,0,0,0,168
"17",191,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"19",1,42,0,0,138,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1
