"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",8,7,17,5,47,4,28,4,8,64,4,7,1,0,2,21,31,2,5,3,133,169,5,1,95,1,72,2,1,1,115,5,110,2,2,2,0,6,160
"2",57,85,3,18,4,1,105,8,9,7,31,2,146,157,2,40,5,42,0,36,3,2,134,2,1,1,5,1,152,3,0,3,1,43,102,1,3,0,10
"3",210,5,2,56,3,0,80,2,5,97,1,292,1,2,4,6,159,4,4,1,1,2,14,61,28,0,1,1,0,5,4,0,2,2,1,1,3,27,6
"4",2,2,148,3,1,3,0,1,2,2,2,2,97,0,73,79,26,1,48,1,1,0,2,18,20,0,1,1,1,7,0,149,1,0,0,0,1,0,3
"5",6,2,6,2,2,4,0,414,0,3,7,4,3,2,4,2,8,233,0,0,88,4,2,2,4,3,1,1,1,80,0,1,0,2,1,0,1,1,7
"6",0,0,3,149,0,0,0,0,2,0,1,1,0,2,0,2,3,1,2,1,1,0,0,0,0,17,0,304,0,0,1,4,0,1,0,0,0,0,2
"7",0,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,1,75,3,2,0,8,0,28,2,3,0,0,1,16,0,28,0,0,126,155,0,2
"8",3,2,0,0,66,131,46,0,1,0,3,2,1,0,88,0,2,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,8,1
"9",1,1,0,0,2,4,2,0,0,1,1,0,0,2,0,2,1,0,14,2,0,2,99,1,81,3,1,0,0,0,8,1,36,127,0,0,13,0,4
"10",1,0,119,0,0,0,0,1,1,0,0,1,5,0,0,0,1,0,1,1,0,1,1,1,2,3,3,0,1,223,0,1,0,1,0,1,0,1,3
"11",37,64,1,0,186,0,3,1,0,1,0,1,1,0,8,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"12",17,2,2,1,2,2,2,1,0,0,0,1,0,1,1,0,3,1,0,275,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,9,9
"13",0,50,2,141,1,0,0,0,1,1,79,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,1,0,2
"14",2,1,1,4,29,289,1,2,0,0,2,0,2,1,2,2,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"15",0,0,1,0,2,2,1,0,0,3,0,0,2,0,0,1,1,0,0,0,1,0,1,0,1,307,0,0,0,0,2,1,0,1,0,0,0,0,6
"1A",2,55,2,2,1,3,1,2,3,253,0,1,2,86,104,52,28,55,0,4,0,0,4,0,2,0,176,1,2,1,0,1,0,2,122,1,1,0,20
"24",1,0,0,0,147,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2,1,0,0,47,2,4,3,204,2,2,0,2,2,2,0,0,0,2,0,1,3,3,0,0,3,2,0,1,1,0,1,1,3,2,1,0,0,3
"1B",1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,1
"20",0,1,1,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,3,0,0,0,294,2,0,0,0,1,3,0,0,0,0,0,0,0,0,1
"21",0,63,0,0,95,1,0,1,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22",0,0,0,0,0,0,1,0,0,13,0,2,2,0,0,32,10,0,1,1,0,2,0,6,15,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"23",2,116,0,2,0,2,1,0,1,0,0,1,2,1,54,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
"26",0,0,0,2,0,26,47,0,2,0,0,52,0,0,1,0,20,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,6,0
"27",3,0,0,1,0,1,4,4,154,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,1,2
"28",0,0,2,1,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,165,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
"Un",75,109,58,49,92,55,89,74,114,97,50,52,43,167,50,42,66,50,21,145,43,28,42,64,45,82,76,97,29,44,31,28,27,37,171,19,22,21,140
"Z",105,68,116,79,4,3,33,4,5,4,191,1,2,4,3,9,8,1,3,4,4,0,2,1,1,0,3,0,1,2,2,2,1,2,3,0,0,0,17
"4A",4,5,1,1,4,1,2,5,1,2,0,0,4,1,0,2,3,0,2,2,4,2,1,0,4,2,9,1,1,0,2,3,4,0,2,0,1,0,243
"17",2,5,2,1,1,1,2,2,215,1,41,3,1,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
"19",4,7,1,1,41,69,2,1,168,2,3,3,1,4,1,1,0,2,1,2,7,1,1,0,0,3,0,1,1,1,1,0,1,2,2,0,0,0,4
