"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",30,2,2,83,4,276,65,22,5,6,15,148,233,2,167,10,42,4,1
"2",3,309,1,89,164,88,9,279,9,108,6,7,145,30,6,9,10,1,5
"3",124,0,53,3,0,3,337,3,34,534,4,18,6,2,2,4,9,0,6
"4",2,0,0,4,1,4,39,2,614,3,3,5,4,0,2,2,1,1,2
"5",2,4,2,12,4,5,8,3,13,12,519,18,4,5,329,2,8,1,6
"6",0,0,487,0,0,1,4,3,6,1,1,0,0,1,1,2,1,0,0
"7",2,1,0,3,1,5,1,7,3,1,2,3,54,0,1,1,386,0,0
"8",57,0,0,4,0,2,1,2,0,1,1,2,1,4,0,1,301,0,0
"9",1,0,0,3,1,1,3,8,2,0,0,8,259,0,1,2,111,3,4
"10",1,2,0,2,1,1,0,2,1,1,356,4,0,1,0,0,0,0,0
"11",0,0,1,1,3,0,2,1,2,2,2,1,1,0,1,0,2,0,301
"12",9,0,0,0,1,0,1,282,2,0,3,6,1,16,0,0,0,2,0
"13",1,0,2,0,0,277,0,0,3,2,1,3,0,1,1,2,0,0,0
"14",1,2,2,0,1,0,2,6,2,1,2,3,1,0,1,32,0,295,1
"15",2,0,1,1,319,0,1,1,2,1,0,0,3,2,1,1,0,1,0
"1A",2,6,0,596,0,9,5,195,2,150,4,12,2,1,1,1,18,0,1
"24",0,0,0,1,0,2,0,0,0,3,0,0,0,0,155,0,1,0,1
"18",3,0,0,1,0,1,0,1,2,0,0,1,4,1,1,285,0,1,0
"1B",0,0,0,0,0,0,1,0,0,0,1,1,16,0,17,0,1,0,1
"20",0,1,0,0,2,1,299,2,1,1,3,0,2,2,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,1,129,1,0
"22",0,1,0,0,0,1,28,10,48,2,0,0,0,0,0,0,1,0,0
"23",0,1,0,1,1,0,0,0,2,3,0,6,1,0,1,0,178,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"25",36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0
"26",53,0,0,1,1,2,0,1,0,54,0,1,1,0,0,1,38,0,1
"27",2,0,0,5,0,9,2,0,0,3,7,3,0,1,0,152,0,0,2
"28",0,0,0,1,0,2,2,160,0,0,3,2,0,0,0,1,0,0,1
"Un",97,51,126,338,123,650,141,219,124,232,200,164,165,58,99,109,251,30,78
"Z",9,1,2,7,37,297,5,3,28,1,6,25,0,272,3,2,15,0,10
"4A",1,2,2,8,4,8,1,0,4,3,5,245,5,5,5,2,3,3,7
"17",5,1,0,4,1,2,4,2,8,4,1,2,5,252,1,0,3,2,0
"19",0,1,0,2,0,5,2,1,2,2,4,4,1,1,6,212,2,67,1
