"1","2","3","4","5","6","7","8","Un","X"
"1",20,74,10,561,5,7,318,92,7,6
"2",39,63,668,87,10,154,10,347,71,11
"3",355,670,21,15,3,4,3,9,28,3
"4",44,8,5,3,615,2,3,4,7,8
"5",502,8,31,5,241,6,3,17,58,6
"6",502,4,0,0,8,5,0,3,27,1
"7",6,45,5,282,2,2,124,2,9,0
"8",7,337,5,2,0,3,1,1,21,0
"9",16,95,25,78,5,5,223,11,16,2
"10",364,1,13,1,3,3,3,3,1,7
"11",309,10,11,6,2,6,2,3,0,0
"12",4,3,3,5,3,293,2,3,10,6
"13",291,6,2,1,6,2,2,4,1,7
"14",6,2,9,5,3,339,2,1,1,0
"15",4,5,272,4,1,2,4,1,23,1
"1A",15,54,10,3,7,13,5,696,54,9
"24",0,5,0,157,0,0,0,1,0,1
"18",4,231,0,2,1,3,4,0,14,0
"1B",0,1,1,32,0,1,0,2,0,0
"20",297,2,6,3,0,2,3,0,3,0
"21",2,23,0,126,0,3,3,2,13,0
"22",87,1,1,0,0,2,2,1,2,0
"23",0,2,5,175,0,0,0,2,3,1
"LG2",0,0,0,0,1,0,0,1,0,0
"25",0,61,24,0,0,0,0,1,0,0
"26",1,148,1,3,3,1,0,2,0,0
"27",6,182,21,48,0,7,1,2,18,1
"28",7,0,185,3,1,1,1,2,32,4
"Un",642,1896,334,3225,171,234,122,403,939,107
"Z",27,30,332,31,17,283,0,12,29,10
"4A",9,11,12,20,5,6,7,9,25,233
"17",261,8,7,0,3,1,1,2,2,1
"19",6,250,2,4,4,3,8,5,18,2
