"1","2","3","4","5","6","7","8","Un","X"
"1",7.34365079365,54.6873015873,2.94444444444,447.620634921,1.30555555556,2.52777777778,253.776190476,61.0361111111,4.33333333333,1.79166666667
"2",10.2090397698,11.541104134,531.994121562,5.11970172684,3.83333333333,124.420748299,3.72619047619,273.860620435,35.1679225536,3.38571428571
"3",309.016666667,585.933333333,3.94927536232,8.28333333333,1.66666666667,1.45,2.0,2.89130434783,12.7666666667,1.2
"4",31.925,4.58333333333,1.27898550725,1.33333333333,502.691666667,1.5,1.16666666667,0.83115942029,2.69166666667,2.75
"5",391.597619048,2.83333333333,4.84081346424,2.33333333333,196.26702509,3.0,0.694444444444,9.76776072748,49.3322580645,2.5
"6",356.466666667,3.5,0,0,4.25,2.31666666667,0,1.0,21.3333333333,0.25
"7",2.83333333333,27.3333333333,2.16666666667,233.616666667,1.33333333333,0.376811594203,106.783333333,1.25,7.1,0
"8",4.75757575758,268.25,2.83333333333,1.0,0,2.0,1.0,0.0588235294118,17.0833333333,0
"9",2.38394062078,64.1951754386,3.16899900252,63.6120107962,0.934210526316,1.02631578947,181.841666667,1.69958047292,11.4254385965,0.175438596491
"10",301.238095238,0.5,5.66666666667,0.5,1.5,0.642857142857,0.642857142857,0.738095238095,0.0714285714286,0.5
"11",267.565811966,2.59829059829,2.64102564103,1.59829059829,0.410256410256,2.73076923077,0.361111111111,1.11111111111,0,0
"12",2.16666666667,1.5,1.83333333333,2.33333333333,1.33333333333,243.243478261,0.833333333333,1.16666666667,9.0,2.33333333333
"13",222.958333333,2.06666666667,0.533333333333,0.2,1.53333333333,0.583333333333,0.583333333333,1.08333333333,0.125,1.75
"14",3.6,0.433333333333,2.10714285714,2.36136363636,1.33333333333,301.670887446,0.6,0.333333333333,0.5,0
"15",1.26666666667,2.16666666667,225.516666667,1.6,0.333333333333,0.433333333333,1.1,0.5,21.0,0.25
"1A",5.66666666667,8.91666666667,4.79166666667,1.66666666667,2.70833333333,6.0,1.43333333333,561.219934641,37.5138888889,3.75
"24",0,1.21794871795,0,127.0,0,0,0,0.333333333333,0,0.166666666667
"18",1.6,196.207142857,0,0.6,0.5,1.6,1.35,0,11.6666666667,0
"1B",0,0.333333333333,0.333333333333,22.8333333333,0,0.5,0,0.5,0,0
"20",248.791666667,0.666666666667,3.375,1.33333333333,0,0.75,1.33333333333,0,2.25,0
"21",0.833333333333,15.5,0,102.583333333,0,1.0,1.08333333333,0.5,9.33333333333,0
"22",78.9,1.0,0.5,0,0,1.2,0.7,0.5,0.7,0
"23",0,1.0,2.66666666667,154.333333333,0,0,0,1.0,2.5,0.5
"LG2",0,0,0,0,1.0,0,0,1.0,0,0
"25",0,48.7777777778,0.888888888889,0,0,0,0,0.5,0,0
"26",0.333333333333,134.192307692,1.0,1.33333333333,1.5,0.5,0,1.0,0,0
"27",5.2,137.853235653,2.76031746032,0.10293040293,0,1.34920634921,0.015873015873,0.0003663003663,1.19068986569,0.5
"28",3.91666666667,0,149.208333333,1.5,0.5,0.5,0.5,1.0,6.70833333333,1.0
"Un",216.140792603,165.717832126,117.577801128,139.209338656,73.5850877193,53.1643969702,46.8150793651,104.245487436,49.3990936591,27.3372159908
"Z",15.8434782609,8.21940595636,268.578644501,3.68912283369,13.6101449275,246.30070111,0,1.60308170091,3.9365848346,0.191019244476
"4A",4.0,4.00833333333,4.75,9.1,1.95,2.41666666667,3.39166666667,2.725,18.7833333333,188.274453552
"17",214.25,3.5,1.11666666667,0,1.0,0.25,0.2,1.0,0.35,0.333333333333
"19",2.34090909091,201.283333333,1.0,1.75757575758,0.8,1.50757575758,7.0,2.5,12.3333333333,1.5
