"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",59,0,39,0,28,61,87,40,46,11,2,0,0,128,0,145,14,1,0,0,78
"2",54,39,26,71,44,76,1,4,106,0,29,25,133,16,143,5,28,104,0,0,0
"3",114,66,0,37,8,3,0,48,54,193,47,72,15,21,0,0,214,0,2,0,0
"4",0,12,120,0,217,32,1,115,0,0,1,0,0,0,0,0,1,0,0,0,0
"5",0,159,0,1,0,0,125,0,0,0,0,265,0,30,0,0,1,0,58,0,0
"6",0,1,0,1,0,9,54,0,0,60,2,0,0,62,0,0,1,0,166,0,0
"7",178,127,0,0,1,0,0,1,4,14,0,0,0,0,1,23,1,3,0,0,0
"8",40,1,93,120,18,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
"9",79,1,91,1,1,1,0,0,39,7,2,0,0,1,0,73,0,9,0,0,0
"10",0,38,0,0,0,0,83,0,157,0,0,0,0,0,1,1,0,0,0,0,0
"11",0,0,1,0,0,1,26,236,1,0,0,0,1,2,0,0,0,0,0,0,0
"12",2,0,2,0,1,100,0,0,73,0,0,0,16,50,0,0,0,0,0,0,2
"13",0,0,0,0,0,0,0,0,0,0,92,0,42,0,0,0,7,67,0,0,0
"14",0,0,0,0,66,1,64,0,1,0,34,1,0,2,1,60,68,0,0,0,1
"15",0,0,0,0,166,0,1,0,0,18,28,0,0,0,0,34,0,0,0,0,0
"1A",0,27,3,0,24,205,1,4,0,152,2,22,9,0,154,1,1,0,0,0,2
"24",0,0,0,0,0,0,1,0,116,0,0,0,0,1,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0
"1B",0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"20",0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"22",0,7,0,0,0,14,0,28,0,0,8,0,0,15,0,0,1,0,0,0,0
"23",0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"25",4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",46,0,41,0,0,0,0,0,0,1,0,0,0,0,0,1,40,0,0,0,0
"27",1,1,0,0,0,0,0,0,0,0,131,0,0,2,1,0,1,0,0,0,0
"28",1,0,0,0,0,1,0,36,0,80,1,0,0,1,0,0,29,0,0,0,0
"Un",21,12,32,15,10,8,40,20,21,26,30,4,7,11,41,2,12,7,12,0,8
"Z",8,4,1,142,9,2,2,10,1,0,4,0,189,0,48,0,7,67,54,0,0
"4A",1,0,0,1,1,0,1,2,1,0,1,0,0,0,2,2,0,2,0,0,176
"17",0,176,0,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"19",0,0,0,0,56,0,1,0,0,0,165,0,0,0,0,0,0,0,0,0,1
