"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",113,42,1,2,1,0,10,163,0,0,0,1,40,117,0,0,10,0,2,0,0,62
"2",21,3,206,0,1,1,8,0,153,132,26,46,21,55,1,49,2,2,1,0,0,0
"3",1,197,0,49,0,0,0,0,2,0,0,402,1,0,0,128,0,0,0,0,0,2
"4",0,168,0,12,0,1,0,0,1,0,0,1,1,0,220,0,2,0,1,0,0,0
"5",151,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,1,0,124,0,1
"6",1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,271,0,0,0,1
"7",0,0,0,2,0,0,279,0,0,0,0,1,1,33,2,0,1,0,0,0,0,0
"8",1,0,0,1,0,0,0,0,0,0,0,1,225,0,0,26,1,0,0,0,0,0
"9",0,0,0,1,0,1,45,0,0,0,0,0,0,196,0,1,0,0,2,0,0,0
"10",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,147,0,0,0,0,0
"11",0,0,0,0,169,0,2,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
"12",16,0,0,0,0,0,0,0,180,0,0,0,1,0,0,1,0,0,0,0,0,0
"13",0,1,190,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"14",2,1,2,0,0,99,1,1,0,0,0,0,0,1,0,1,1,2,0,0,0,1
"15",1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,90,0
"1A",0,2,0,178,1,0,104,130,0,6,0,1,1,1,0,24,0,0,0,0,0,0
"17",5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,86,0,0,1
"1B",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,0,1,75,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,2,0,0,0
"22",0,35,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
"23",1,1,0,0,0,0,0,0,0,0,0,0,93,1,0,0,1,0,0,0,0,0
"24",75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,42,36,0,0,45,0,0,0,0,0,0
"27",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,126,0,0,1
"28",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1
"Un",14,25,3,40,8,2,1,0,12,3,3,7,49,4,2,1,4,0,20,1,0,10
"Z",215,4,32,1,1,0,2,2,26,0,164,0,2,0,3,0,1,0,0,0,0,2
"4A",2,1,2,0,1,0,2,1,1,0,0,0,0,3,0,0,0,1,1,0,0,151
"19",0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,154,0,0,1
