"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",226.188095238,8.82142857143,105.25,11.5,0.571428571429,0.5,1.45,0.7,0.666666666667,228.95,3.5,6.33333333333,0.5,1.07142857143,88.3333333333,0.0714285714286,0.521428571429,6.2,1.0,1.0,45.6666666667,0,1.0,2.5,0.833333333333,0.5,115.238095238
"2",34.0311970638,26.8484848485,9.06907585168,195.985742518,9.45,3.66864295125,3.91515151515,2.64285714286,257.012121212,0.00790513833992,5.59090909091,2.59090909091,75.8333333333,4.08833992095,0.505928853755,49.7337662338,1.27420405681,1.48376623377,92.5428571429,80.5873015873,0.835309617918,0.840909090909,129.577200577,0.416666666667,0.181318681319,10.8787878788,3.46581027668
"3",7.63885751929,34.2936507937,216.007905138,0.0793337097685,2.14285714286,0.579333709768,1.83333333333,322.938095238,14.0,1.10304912479,2.14285714286,86.5833333333,61.95,1.50790513834,0.0237154150198,0.5,1.34123847167,1.57142857143,0.5,111.166666667,2.50790513834,0.571428571429,1.5,0.666666666667,50.5,10.0,4.39657444005
"4",1.61864295125,20.7178571429,24.9781667608,0.269833427442,1.2,325.246023904,1.2,1.41666666667,0.767857142857,0.00790513833992,1.33333333333,0.333333333333,13.0,0.251976284585,0.130928853755,0,91.2936429513,0.142857142857,0,0.833333333333,0.701976284585,1.0,0,1.66666666667,0.125,69.6666666667,1.01581027668
"5",1.84355137616,2.14871794872,5.4702015234,0.900327932937,1.14285714286,0.540437823047,262.285714286,0.371794871795,1.5,0.00790513833992,1.11538461538,0.10989010989,0.833333333333,0.48366126627,156.937247535,0.142857142857,0.535309617918,121.239583333,0.0384615384615,1.03846153846,122.968642951,0,0,0.5,0.238461538462,1.0,2.16267382979
"6",0,1.0,3.33333333333,1.5,0,3.25,0.25,1.0,0,0,2.0,0,1.5,0.583333333333,1.75,0.5,0,0,0.0666666666667,1.0,0,238.8,0,0,143.083333333,0,0
"7",58.9166666667,314.25,3.25,0.75,1.0,1.16666666667,0.25,0,0,0.333333333333,0.666666666667,0.5,0.5,1.0,0.833333333333,0,0,0,0.376811594203,1.0,0,0.5,0,0,0,0,0.5
"8",247.533333333,2.84090909091,1.75882352941,0,0.1,0,1.0,1.0,0,0.5,0.6,45.5,2.5,0.1,1.0,0,0,0.1,0.1,0.75,0.5,0.25,0.1,0,0,0.25,1.0
"9",261.260309618,53.3666666667,0.0546078635323,0.301976284585,0,0.00197628458498,0,0.708333333333,0.5,1.25790513834,2.0,2.0,1.0,0.335309617918,0.547595520422,0.333333333333,0.00197628458498,0.0416666666667,0.875,0.333333333333,0.00197628458498,0,0.666666666667,1.86666666667,1.0,0,2.00747694335
"10",0.25,0.5,0.5,0.25,0.5,0.5,142.333333333,0,1.0,0.5,0.5,0,0.5,0.5,0,0,1.58333333333,153.666666667,1.0,0,0,0,0,0,0.25,0.5,1.83333333333
"11",1.5,1.0,0.5,1.0,0,0,2.0,0.5,0,0.5,0.5,0,1.08333333333,264.633333333,0.666666666667,0,0,0,2.0,0.8,0,0,0.166666666667,0,0,1.25,0.916666666667
"12",1.75,17.5,0.666666666667,0.5,0.25,0.75,0,0,0,0,0,1.0,0,0,0,0,1.0,0,236.826811594,0,0,0,0,0.5,0,0,4.16666666667
"13",0,0.333333333333,1.33333333333,0.5,192.791666667,0.5,6.0,0.5,1.0,0.333333333333,0.666666666667,0.5,0.5,0,0.5,19.5,0,0,0,0.666666666667,0.5,0,0.5,0,0.75,0,1.375
"14",1.58333333333,0,1.25,0.5,0.5,0.5,1.0,0.5,1.25,0,28.3333333333,0,0.25,1.16666666667,0,0.166666666667,0,0,0,0,0,0,0,257.416666667,2.0,0,1.5
"15",1.5,2.66666666667,0.666666666667,0,0,0,0.25,0,0,0,1.0,0.166666666667,0.25,0,0,0,253.75,0,0,0,1.58333333333,0,0,0.583333333333,0,0,0.416666666667
"1A",4.74956140351,0.583333333333,468.975490196,147.6,1.68233082707,0.25,0.833333333333,0.125,0.166666666667,0.5,1.5,1.0,35.0,1.33333333333,0.5,0,0.833333333333,1.25,1.0,4.40977443609,0,0,0,0.5,0,0,3.375
"24",0,0.5,1.83333333333,0,0,0,0.5,0,0,1.0,0.5,0,0,1.52564102564,84.5,0,0,1.0,0,0.025641025641,37.3333333333,0,0,0,0,0,0
"18",2.0,0,0.5,0,0,0,0,0,0.5,0,225.19047619,0.5,0.5,0.5,0,0.166666666667,0,0,0,0,0,0,0,0.666666666667,0,0,1.5
"1B",14.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0
"20",1.0,1.0,0.833333333333,0,0.833333333333,0.5,3.0,0,1.83333333333,0.5,0,0,237.023809524,0.392857142857,0.333333333333,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0.25
"21",4.5,11.4166666667,0,0,0,0,0.833333333333,0,0,0,1.0,115.583333333,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0
"22",0.2,13.5,20.75,7.2,0,0,0.7,0.5,0.5,0,0.616666666667,0,4.5,0,0.5,0,0.2,0.25,1.0,0,0.166666666667,0,0,0,0,30.5,1.41666666667
"23",51.3333333333,104.833333333,1.33333333333,0.5,0.5,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0.5,0,0.333333333333,0,0,0.5,0,0.5,0,1.16666666667
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0
"25",49.5,0.333333333333,0,0,0,0,0,0,0.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"26",39.5909090909,0.5,1.59090909091,0.5,0.0909090909091,0.590909090909,0.340909090909,1.0,0,0,0.5,44.5,0,0.0128205128205,0.5,0.333333333333,1.09090909091,0.333333333333,0.590909090909,40.6113053613,0,0.5,0.590909090909,0,0.0909090909091,0,0
"27",0.111111111111,0.222222222222,2.23611111111,0.111111111111,0.236507936508,0.111111111111,5.0,0.5,0,0,128.944444444,1.5,0,0.166666666667,0,0.5,0,0,0,1.5,0.5,0,0,0,0.166666666667,0,0.5
"28",0,0,1.0,0,156.166666667,0.5,1.5,0,0,0,0,0,0,0.666666666667,0,0,0,1.33333333333,0,0,0,0,0,0,0,0.333333333333,2.5
"Un",129.001182304,57.3026695527,148.812125325,33.1197628458,57.7953007519,35.4780961792,35.619047619,2.35833333333,29.7371212121,18.4123847167,55.8095238095,35.3333333333,44.7166666667,38.8434225195,30.0592885375,7.59090909091,26.5646346407,28.1354166667,35.8130434783,15.9846378767,26.8364295125,23.7833333333,18.7398989899,20.3333333333,15.5448717949,10.3787878788,39.8340248979
"Z",2.90571475626,234.605654762,4.04162745467,1.35809570864,87.1083333333,7.84321475626,40.8333333333,0.197916666667,1.67410714286,0.713632834557,1.67410714286,0.03125,1.22916666667,2.50988142292,4.06089426877,131.816964286,0.541131422925,0.5,1.66666666667,0.833333333333,0.207798089592,0.03125,24.1145833333,0.583333333333,0.142857142857,8.53125,2.91558046224
"4A",5.40476190476,3.65476190476,0.666666666667,0.866666666667,1.07142857143,1.375,0.833333333333,0.2,1.0,3.25,1.5,0.575,0.7,2.57142857143,2.33333333333,0.771428571429,0.0714285714286,1.16666666667,0,1.625,0.5,0.333333333333,1.25,0.5,0,1.33333333333,203.01254879
"17",1.58333333333,35.6428571429,167.345238095,0.833333333333,0.142857142857,0.142857142857,0,0.25,0,0,0.142857142857,1.0,1.5,0.25,0,0,0,0.5,0,1.75,0,0,0.5,0.25,0,0,0
"19",1.33333333333,1.43298368298,1.23076923077,1.07692307692,0.922222222222,0.576923076923,0.0769230769231,0,0,0.0769230769231,174.826923077,0,0,0,0.555555555556,0.0769230769231,0.4,0,0.230769230769,0.311111111111,0,0,0,58.0611111111,0,0,1.33333333333
