"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",7.36666666667,0.5,44.4166666667,51.0,47.5,3.5,1.5,1.0,130.083333333,2.0,206.333333333,2.83333333333,162.166666667,1.75,1.25,0.75,0.5,11.1666666667,2.91666666667,99.25
"2",62.6666666667,9.7619047619,4.0,230.476190476,2.0,78.895970696,77.6761904762,3.33333333333,93.95,73.0833333333,0,3.7,122.345238095,1.38644688645,4.03333333333,34.8768115942,0.666666666667,93.2,0,1.95
"3",322.533333333,3.0,212.75,0,0,0.5,104.166666667,0.833333333333,27.0,55.8333333333,1.0,1.0,1.5,65.6666666667,14.1666666667,0.173913043478,56.75,0,0,0.833333333333
"4",0,1.0,22.25,0,1.5,0.5,1.83333333333,391.433333333,0.5,0,1.33333333333,1.5,0.5,17.9,40.6666666667,0.0434782608696,37.0,0,0,0
"5",143.547619048,240.6,2.85416666667,1.11111111111,1.05882352941,0.895833333333,208.841666667,0.125,15.7916666667,0.5625,0,0.0625,0,1.47222222222,0.333333333333,0.10597826087,1.0,0.166666666667,0,0.804166666667
"6",1.0,0,2.5,3.5,0.333333333333,1.0,1.0,2.25,0.5,0,1.33333333333,0,0.0666666666667,357.55,0.25,0,0,0.5,0,0
"7",0.625,1.25,0.5,0,2.5,0,1.0,1.0,1.83333333333,0.5,0,0,35.3768115942,0,303.208333333,0,0,0.5,0,0.5
"8",5.42424242424,0,0,71.0,1.05882352941,137.833333333,0,0,23.5,18.0,0.333333333333,0.5,0,0.5,0,0.333333333333,1.0,0,0,1.0
"9",0,0.166666666667,1.38596491228,0.833333333333,0,1.83333333333,0,0,0.833333333333,0,0,2.0,211.4,1.0,77.3333333333,0.0434782608696,1.0,0.05,0,0.25
"10",168.083333333,1.0,0,0,0,0.25,113.5,0,0,0,0,0,0,1.33333333333,0,0,0,0,0,0.833333333333
"11",0.5,0,0,1.0,1.0,180.933333333,2.5,0,0,1.0,0,0,2.0,0,0,0,1.58333333333,0,0,0.5
"12",0,0.25,14.5833333333,1.0,0,0,3.33333333333,1.0,2.0,0,0,0,222.243478261,1.0,0,0,0,1.0,0,3.5
"13",0,142.666666667,2.5,0,0,0,1.5,0.5,0,0,0,0.833333333333,1.0,0.75,0,67.0,0,0,0,0.5
"14",1.0,0,213.75,2.0,0,1.0,0.0227272727273,1.0,0,7.83333333333,0,7.83333333333,1.0,2.0,0,0,0,0,0,2.0
"15",0,0,0.333333333333,0,0,0,0,0,1.5,0,0,0.5,0.5,255.166666667,0.5,0,0,0,0,0
"1A",1.33333333333,1.83333333333,2.25,2.79166666667,404.892156863,0.333333333333,3.79166666667,0,45.0,30.4761904762,0,0,0.55,0.333333333333,0,0,0.857142857143,96.6,0.5,3.0
"24",0,0,0,0,0.333333333333,1.0,0.0512820512821,0,123.833333333,0,1.0,0,0,0,0.5,0,0,0,0,0
"18",0,0,1.0,0.5,0,0,0.5,0,0,1.5,0,170.607142857,1.5,0,0.25,0.5,0,0,0,0
"1B",1.0,0,0,0,0,1.0,0,0,12.5,0,0,0,9.0,0,0,0,0,0,0,0
"20",3.33333333333,0,0,0,0.5,1.58333333333,0.5,0,0,1.0,0.5,0,1.0,1.0,0,0,193.833333333,0.5,0,0
"21",0.333333333333,0.5,0.5,0.166666666667,0,108.333333333,0.5,0,0,0,0,1.0,2.0,0,0,0,0,0.5,0,0
"22",0,0,20.0,0.5,0,0,1.0,0,0,0,0,0,0,15.0,16.0,0,17.0,9.5,0,0.5
"23",0.5,0,1.0,0,0,116.0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"LG2",0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,48.1666666667,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"26",1.0,0,0.2,35.5,0.5,0.5,40.558974359,0.2,20.0,23.5,0,0.5,0.7,1.7,0,0,0,0.5,0,0
"27",0,0.00793650793651,0.166666666667,0,1.0,0,5.50634920635,0,1.0,0.5,0,123.0,0,0,0,0,0,0,0,1.0
"28",0.7,131.8,1.0,0,0,0,1.33333333333,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0.5
"Un",57.3840909091,76.7317460317,50.3640350877,79.9583333333,95.5735294118,87.8730769231,51.403019203,38.0,55.0833333333,18.1666666667,16.8333333333,55.3095238095,77.1963768116,67.2897435897,36.125,14.1014492754,28.5,16.6,0.916666666667,36.025
"Z",173.626623377,137.928210678,1.5,0,2.0,7.66666666667,2.11681096681,5.75757575758,1.0,53.5,0,1.59090909091,1.59090909091,10.5,3.42424242424,111.800724638,5.77272727273,0,0,1.59090909091
"4A",1.9,1.0,0.833333333333,2.0,0,1.75,1.16666666667,1.83333333333,1.83333333333,0.916666666667,2.5,1.5,3.25,1.5,1.0,0.5,1.0,0.166666666667,0,189.383333333
"17",178.75,0.333333333333,1.0,0.5,0,2.0,3.5,1.0,1.08333333333,0.5,0,0.25,2.16666666667,0.25,0,0,0,0,0,0
"19",0.333333333333,0.666666666667,52.3166666667,0,0,1.0,0.333333333333,0.166666666667,0.666666666667,0.166666666667,0.5,147.15,0.5,0,0.2,0.166666666667,0,2.83333333333,0,0
