"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",55,136,39,22,4,3,37,9,290,177,206,48,52,3,181,93,6,10,2,12,166,25,127,21,1,10,9,52,121,105
"2",12,26,41,16,221,5,341,418,4,41,26,5,7,2,9,10,11,150,277,140,26,278,223,14,15,3,6,2,4,99
"3",412,61,73,16,2,5,4,12,4,2,23,184,3,4,54,8,5,15,13,2,9,2,2,1,5,132,3,37,41,158
"4",8,9,342,15,6,25,341,22,2,9,2,0,187,227,3,95,2,11,3,36,7,2,122,95,3,1,3,2,97,15
"5",7,0,6,156,485,213,5,3,4,3,6,2,37,5,8,1,100,19,6,0,2,2,1,1,3,1,54,0,2,17
"6",35,6,6,217,2,55,16,16,2,3,44,1,82,1,6,7,2,39,285,10,1,44,0,5,2,0,8,0,5,6
"LGb",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,1,0
"LGc",0,0,2,0,0,0,1,0,0,4,1,0,1,0,0,1,0,49,1,0,0,0,0,0,1,0,0,0,0,1
"LGa",0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85,1,0,0,0,1,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
