"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",49,45,10,389,73,160,5,23,11,310,302,8,35,214,43,6,26,6,146,2,10,9,0,69
"2",231,390,39,178,253,35,23,22,213,40,28,23,34,27,286,8,9,21,9,25,6,294,1,90
"3",118,6,24,6,87,112,9,15,7,4,98,169,6,27,125,4,154,30,1,2,135,3,1,149
"4",24,134,29,114,194,13,304,19,15,23,109,10,104,3,7,233,10,46,70,2,2,12,0,16
"5",137,10,350,16,7,5,40,156,269,8,14,3,23,9,8,8,9,3,3,14,3,6,0,25
"6",25,15,37,3,258,8,84,219,6,6,10,7,17,57,9,2,70,2,16,2,0,36,0,8
"LGb",2,1,0,0,0,0,0,0,56,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"LGc",0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,46,0,0,0,1
"LGa",0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,80,0,0
"LGh",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
