"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",145,12,9,74,6,4,89,252,3,71,11,263,3,19,3,10,135,229,39,3,71,37,41,39,46,4,3,4,0,51,12,2,31,4,9,7,90,35,79
"2",189,87,85,120,53,12,22,32,205,70,181,79,4,18,12,7,21,7,7,382,10,6,11,6,11,11,149,4,2,6,4,7,7,5,70,5,17,10,103
"3",19,2,16,32,40,6,23,2,6,23,3,3,2,11,0,8,13,8,16,6,61,124,92,2,130,3,1,136,0,0,138,6,91,94,2,0,12,2,164
"4",54,121,20,9,66,117,130,10,4,1,17,59,97,10,88,5,51,51,0,3,19,3,8,182,8,7,7,3,131,9,2,3,3,28,54,1,6,30,19
"5",10,36,39,4,19,4,1,4,7,212,2,6,46,59,164,98,5,56,48,6,2,0,7,1,3,5,160,2,3,2,2,108,2,2,1,1,2,1,22
"6",42,82,1,4,2,1,12,2,284,4,16,1,26,155,1,46,105,38,0,3,1,0,76,0,1,2,1,0,1,2,0,3,0,11,2,0,4,1,6
"LGb",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,0,0
"LGc",0,14,0,0,24,1,0,3,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGa",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",92,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LGh",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
