"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",156,381,62,5,37,410,25,19,3,17,316,5,45,264,57,1,16,19,17,48,11,0,4,94
"2",30,46,294,24,384,204,18,6,288,4,10,211,7,26,3,17,264,16,215,4,1,5,14,105
"3",35,123,287,16,2,3,17,5,1,166,101,2,184,1,12,2,11,0,19,2,138,1,30,166
"4",426,6,5,23,667,131,14,241,14,2,131,4,0,5,10,1,2,93,18,191,2,3,0,19
"5",4,5,8,346,2,5,152,20,3,34,8,308,0,1,2,12,5,1,10,2,0,178,0,23
"6",14,18,78,53,14,1,225,9,19,86,9,4,1,1,2,0,295,5,48,0,0,3,10,8
"LGb",0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,0,0
"LGc",0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,47,1,0,0,1,0,0,0,0
"LGa",0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0,0
"LGh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
