"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",144.5,328.583333333,54.5285714286,3.16666666667,34.5,346.732142857,3.22077922078,15.3333333333,1.5,3.33333333333,283.535714286,4.0,44.0,202.972222222,46.169047619,0.5,2.5,18.125,3.37755102041,42.25,10.0,0,0.8,24.2574314574
"2",19.7777777778,39.2526315789,261.106060606,5.7,358.363636364,67.2488850915,3.22258297258,5.05263157895,173.3,2.0,6.00555555556,151.590909091,6.0,23.5,2.5,8.64285714286,226.757575758,12.5,109.539806226,1.5,0.5,0.928571428571,0.736842105263,65.7874800638
"3",32.5,115.166666667,274.722222222,13.5,1.5,1.53571428571,4.04076479076,4.0,0.5,161.0,85.9285714286,1.0,172.833333333,0.5,12.0,2.0,3.16666666667,0,2.85714285714,1.5,113.0,1.0,6.22307692308,123.314801865
"4",392.0,5.5,2.5,19.5,67.0,102.222539683,3.62445887446,226.0,10.75,2.0,2.88888888889,2.5,0,5.0,6.66666666667,1.0,1.5,89.0,3.84693877551,172.75,2.0,2.5,0,4.10606060606
"5",2.33333333333,3.83333333333,4.61111111111,322.9,1.0,4.0,137.348484848,19.0,2.33333333333,28.0,6.64285714286,282.333333333,0,1.0,1.5,10.3333333333,3.5,1.0,4.17896389325,0.666666666667,0,158.5,0,3.68585858586
"6",9.83333333333,16.5,70.5909090909,17.0,12.3333333333,0.5,208.015151515,9.0,19.0,78.5,3.39285714286,1.33333333333,0.5,1.0,2.0,0,237.833333333,5.0,35.0612244898,0,0,2.5,0.909090909091,3.0303030303
"LGb",0,0,0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0,0,0,1.0,0,0
"LGc",0,0,0,0,0,0,1.0,0,0,0,0,0,0,3.0,0,46.0,0.5,0,0,0.5,0,0,0,0
"LGa",0,2.0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,56.9230769231,0.5,0,0,0,0
"LGh",3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
