"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",184,171,37,41,1,0,131,9,29,17,6,410,9,58,3,150,73,30,2,140,1,84
"2",283,27,160,140,7,2,36,42,254,15,161,223,35,17,7,6,31,5,74,1,2,75
"3",104,42,7,3,3,3,52,119,3,10,3,8,41,324,4,2,13,122,10,0,1,111
"4",105,19,457,81,1,1,9,5,84,10,22,109,352,15,7,67,10,8,3,1,1,24
"5",15,103,6,194,7,0,123,148,5,9,2,10,8,11,236,25,3,2,3,0,1,22
"6",25,242,7,6,0,2,12,2,29,158,2,4,32,43,89,63,2,1,270,0,0,11
"LGb",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0
"LGc",0,0,0,0,33,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0
"LGa",19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
