"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",98,154,212,26,30,9,180,280,17,49,9,99,49,15,174,14,4,130,25,117,125,7,21,4,52,14,105
"2",51,293,257,20,332,6,40,6,7,9,260,9,12,75,10,140,9,26,265,232,3,2,13,8,6,5,113
"3",485,68,27,16,5,5,4,3,3,197,11,7,2,18,60,2,2,7,3,1,44,134,4,5,34,3,164
"4",362,44,32,26,202,32,11,6,233,3,13,96,188,21,7,36,7,7,7,131,97,3,102,3,7,4,31
"5",26,16,498,170,6,221,5,9,3,3,14,6,33,30,12,0,102,3,6,6,1,2,1,4,4,57,25
"6",41,28,84,226,20,54,5,2,1,0,273,7,82,40,5,12,3,3,39,1,4,1,7,0,1,9,10
"LGb",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,1,0,0,0,0,0,0
"LGc",1,0,0,1,0,0,3,0,0,0,1,0,1,47,2,0,0,0,0,0,0,0,0,1,0,0,0
"LGa",1,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,0,0,1,1,122,0,0,0,1,0,1,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
