"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",68.8924561278,132.683150183,177.188644689,3.1404983905,25.6428571429,2.82622279681,160.441798942,248.255494505,12.1497821351,44.4444444444,2.34981684982,87.5769230769,43.25,1.57901622187,151.517399267,10.3095238095,3.33333333333,78.737745098,22.0054945055,85.6721611722,114.666666667,2.5,18.0,1.33333333333,47.8388278388,11.0,26.6923933909
"2",25.455988456,189.80952381,169.61002886,4.30591630592,290.362637363,4.14285714286,36.2222222222,1.34090909091,2.15043290043,6.47619047619,221.321067821,3.8547008547,4.25,12.1360544218,4.11666666667,127.619047619,4.5,23.5833333333,237.20995671,63.3292307692,2.5,1.5,9.59090909091,3.69358974359,2.14285714286,2.83333333333,66.4563492063
"3",445.518783069,63.6761904762,23.0769230769,1.61616161616,3.34285714286,2.30952380952,0.737037037037,1.5,2.03703703704,166.784188034,3.66666666667,6.5,1.5,2.2619047619,46.6785714286,0.47619047619,1.14285714286,6.5,1.83333333333,1.0,39.7,125.25,1.91666666667,3.5,33.5,2.0,126.347402597
"4",292.111162911,24.4812687313,8.59818514819,3.69710844711,30.1909090909,19.0597735598,5.96127946128,1.65934065934,211.461279461,0.111111111111,2.14945054945,87.2664835165,167.25,2.17795775653,2.51648351648,32.0151515152,2.73376623377,3.68333333333,0.683583083583,97.2978255078,1.5,1.5,89.0318181818,1.58333333333,2.25024975025,1.92424242424,7.80569430569
"5",8.28556166056,4.15064102564,434.000457875,135.70486458,3.66666666667,190.718864469,2.58333333333,3.09981684982,0.892857142857,1.16666666667,3.04945054945,0.516483516484,27.8333333333,12.5452642595,6.28434065934,0,93.625,1.39285714286,1.51648351648,1.34981684982,0.5,1.0,1.0,2.0,0.141483516484,51.5,4.60493672994
"6",35.202020202,19.2297979798,23.1944444444,199.693362193,9.73412698413,18.6111111111,3.18181818182,1.0,1.0,0,221.785353535,3.34090909091,76.8333333333,33.6521335807,1.39285714286,10.1428571429,2.09090909091,1.23376623377,33.8333333333,0.5,2.5,0.0909090909091,6.14285714286,0,0.333333333333,8.5,3.61363636364
"LGb",0,1.0,0.333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,53.8333333333,0,0,0,0.333333333333,0,0,0,0,0,0
"LGc",0.5,0,0,1.0,0,0,3.0,0,0,0,0.5,0,0.5,43.8333333333,0.666666666667,0,0,0,0,0,0,0,0,1.0,0,0,0
"LGa",0.5,0,2.0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,56.9230769231,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
