"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","2A","2B","Y","X"
"1",135,51,3,30,332,2,15,1,3,219,3,35,195,43,1,2,19,1,40,9,0,179,133,0,16
"2",14,242,3,338,60,3,3,161,2,2,144,5,22,6,7,203,12,100,1,0,0,15,21,0,44
"3",32,262,13,2,2,4,2,0,149,80,1,146,1,11,1,2,0,2,1,107,1,21,88,4,91
"4",379,2,18,60,98,3,208,9,2,2,1,0,2,5,1,1,88,4,160,2,2,0,5,1,3
"5",3,2,308,0,3,132,17,2,27,7,271,0,1,2,9,2,1,2,0,0,136,5,0,0,1
"6",8,68,17,10,0,199,9,19,77,1,1,0,1,2,0,224,5,34,0,0,3,13,2,0,2
"LGb",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LGc",0,0,0,0,0,1,0,0,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0
"LGa",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LGf",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
"LGh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
