"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",131.066666667,53.0989247312,14.0228354978,334.530952381,4.9,30.0666666667,240.245186892,15.0666666667,3.06666666667,42.8833333333,5.83333333333,109.066666667,211.666666667,268.678571429,2.25,3.25,43.7857142857,17.6428571429,1.87755102041,0.0666666666667,26.3192000652
"2",27.4545546559,219.435781762,6.29126794258,65.7116917293,5.18859649123,344.305745132,24.0526315789,7.71551956815,2.75,2.95,179.923852901,14.1428571429,22.0333333333,4.87207602339,168.568633121,216.347435897,5.1954887218,12.6666666667,107.26899093,7.89741179873,62.9912679426
"3",31.8333333333,261.5,112.424242424,4.7380952381,12.6666666667,4.83333333333,10.1666666667,3.0,155.166666667,2.5,1.0,76.0,37.5,83.6785714286,1.5,3.16666666667,166.166666667,0.5,2.35714285714,2.0,111.840909091
"4",381.65,4.5,6.41287878788,100.966190476,18.1333333333,61.0,10.4333333333,212.416666667,3.2,171.5,5.15,5.31666666667,2.0,3.5,10.75,1.1,0.166666666667,86.8333333333,1.44693877551,2.0,5.87954545455
"5",8.53333333333,6.33333333333,134.165584416,6.0,306.783333333,3.2,5.2,19.0,29.0,145.033333333,279.7,0.666666666667,4.83333333333,7.14285714286,2.53333333333,3.5,0,1.0,1.84563055992,10.4,5.32987012987
"6",10.8333333333,71.1,201.356060606,1.0,18.6666666667,12.8333333333,3.5,10.0,74.6,3.83333333333,1.75,2.0,16.5,3.51785714286,17.5,230.683333333,0.1,5.0,33.1612244898,0,3.89772727273
"LGb",0,1.33333333333,0.333333333333,0,0,0,0,0,0,0,51.3333333333,0,0,0,0,0,0,0,0,0,0
"LGc",0.5,0,1.0,0,0,0,2.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,44.5,0.5
"LGa",0,0,0,0,0,0,0,0,0,0,0,0,2.0,17.0,0,0,0,0,0,0,0
"LGf",1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9230769231,0,0
"LGh",2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0
