"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",270,8,200,2,43,324,4,65,165,17,28,2,116,46,29,25,17,26,30,87,17
"2",103,184,6,125,58,34,110,121,40,295,3,14,4,3,15,40,69,69,34,50,53
"3",165,137,2,4,0,1,4,87,101,3,182,28,23,2,96,37,1,9,3,70,100
"4",18,169,161,5,223,4,92,3,36,3,2,3,100,39,6,2,45,89,0,34,3
"5",5,108,1,233,1,25,301,6,3,1,6,1,1,125,2,54,26,0,41,0,1
"6",44,0,4,136,17,30,0,57,10,231,1,0,2,33,1,19,94,5,3,0,3
"LGb",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,1,0,0,1,0
"LGc",0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,44,0,0
"LGa",0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",55,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"LGh",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LGg",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
