"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",281.91815661,12.1117424242,208.795238095,5.84090909091,45.5446687371,333.541287879,6.84583333333,67.4857142857,169.839285714,19.7,28.8333333333,2.42857142857,118.313311688,47.9216450216,30.9,27.2833333333,17.0454545455,28.4817899492,32.3095238095,89.0,24.2453274986
"2",113.042142084,194.262337662,11.2751082251,130.163230519,64.3754689755,38.59120671,116.707683983,125.890016234,42.6684253247,306.266305916,5.99090909091,17.0356579794,6.29607464607,5.53376623377,17.019047619,43.5242424242,73.6333762334,73.3575757576,35.769047619,54.3678078078,61.7443722944
"3",172.613919414,140.898018648,4.31446886447,7.27301864802,1.16666666667,2.15734265734,5.70128205128,90.1666666667,102.019230769,6.88461538462,186.458333333,29.4184981685,24.1317016317,6.19067599068,99.358974359,39.0769230769,2.02272727273,10.3817016317,3.10897435897,71.5,108.695221445
"4",24.2057050093,176.456876457,168.751165501,6.95571095571,229.276923077,5.73787878788,94.7159090909,4.7967032967,39.1935897436,3.84090909091,2.25,4.00549450549,103.182983683,41.7489177489,6.75116550117,3.16783216783,46.7727272727,94.066017316,0.0833333333333,37.6642424242,7.48146853147
"5",8.96229722658,111.225490196,2.15168067227,239.683333333,1.62745098039,27.0833333333,307.783333333,8.33333333333,5.91666666667,4.30882352941,7.64215686275,1.5,2.45,128.950980392,3.50882352941,57.9754901961,27.6176470588,0.5,43.0,1.5,6.47976827094
"6",45.3420248951,2.48794326241,8.26094224924,140.6591692,19.3095238095,31.4833333333,0.760638297872,59.1666666667,10.9166666667,238.769047619,2.42730496454,1.0,4.66666666667,34.6666666667,1.64285714286,20.1666666667,96.7304964539,5.30952380952,3.26063829787,0.166666666667,4.13942617666
"LGb",0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,51.5,0,0,0.5,0,1.0,0,0,1.0,0
"LGc",0,0,0.5,0,0,1.0,0,0,0,0.5,0,1.0,0,0.5,2.0,1.0,0,0,44.5,0,0
"LGa",0,0.25,1.0,1.0,0.25,0,0,18.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0
"LGf",56.9230769231,0,0.5,0.5,0,0,0,0,0,2.0,0,0,0,0,0,0,1.0,0,0,0,0.5
"LGh",0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGd",0.125,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,1.0,0,0
"LGg",0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
