"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",317.978835979,249.666666667,173.693452381,3.5,3.0,4.00552721088,243.066666667,2.35119047619,37.5178571429,54.4375,39.0,1.00892857143,56.8703703704,53.0,137.416666667,21.5089285714,39.5,2.16666666667,0,23.9978174603
"2",126.446969697,313.668997669,31.9231601732,12.5,122.333333333,14.8882189239,91.5355910756,5.83333333333,5.89285714286,32.6428571429,5.0,172.590909091,236.772727273,16.7575757576,23.1666666667,116.833333333,2.25,0,0.25,53.25
"3",6.33333333333,5.2619047619,22.0,34.3333333333,0.666666666667,2.61904761905,2.0,3.16666666667,81.1666666667,0.142857142857,150.916666667,2.66666666667,341.666666667,158.333333333,78.0,1.5,1.75,0.5,3.33333333333,110.5
"4",48.6071428571,32.1666666667,1.78035714286,327.476190476,5.5,162.099914966,100.906666667,18.5035714286,61.5535714286,25.3125,0.333333333333,1.52678571429,5.9619047619,10.5095238095,6.66666666667,28.8601190476,118.833333333,2.0,0,3.52678571429
"5",5.94047619048,2.97619047619,5.91369047619,2.83333333333,379.583333333,7.46215986395,2.83333333333,257.553571429,54.8035714286,22.0267857143,1.08333333333,3.02678571429,2.25,5.33333333333,31.5,0.526785714286,17.75,80.5833333333,1.0,3.02678571429
"6",19.1666666667,13.1428571429,15.0,1.16666666667,2.44444444444,34.3945578231,1.83333333333,16.0555555556,104.283333333,74.0,0,208.033333333,69.6666666667,2.0,4.7,0.5,5.0,80.7,0,4.2
"LGb",0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,0,0,0
"LGc",1.0,0,0,0,0,21.5,3.0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
"LGa",0,0,2.0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,47.0,1.0,0,1.0,0,0,1.0,0,0,0,0,0.5,0,0,0
"LGh",0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGd",0,0,0,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
