"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",8,4,3,7,8,7,8,1,9,5,9,4,4,5,272,2,232,2,4,2,191,3,0,10
"2",13,5,5,12,10,495,232,4,7,6,11,9,5,7,7,1,4,1,0,0,3,7,0,14
"3",7,8,7,8,5,80,580,8,5,6,10,8,3,7,4,1,2,377,3,1,0,5,0,7
"4",4,4,4,4,7,4,3,585,3,5,4,0,1,2,2,3,6,0,3,1,2,1,1,6
"5",194,9,13,14,12,11,8,9,705,13,3,4,9,6,8,6,9,4,2,0,0,7,0,8
"6",4,4,486,3,4,0,3,1,2,3,2,3,0,1,2,1,0,0,2,2,0,2,0,3
"7",10,427,7,10,17,5,6,6,6,6,9,8,8,9,1,4,0,3,46,3,5,498,0,3
"8",465,3,26,8,3,4,9,1,4,2,4,5,105,10,4,1,1,4,1,0,4,4,1,6
"9",7,3,1,432,7,2,2,2,2,2,6,3,0,1,4,2,2,3,0,0,0,3,0,7
"10",10,69,9,7,7,12,7,5,9,695,6,7,6,4,4,2,8,3,0,4,1,9,0,9
"11",270,6,9,7,5,6,3,0,4,9,11,3,6,540,2,1,2,6,4,2,1,2,1,6
"12",172,3,1,2,122,5,3,1,1,6,1,1,2,3,2,1,0,1,1,0,0,0,0,1
"13",11,0,21,3,489,10,168,6,6,1,2,1,8,1,3,7,1,6,2,1,1,1,0,3
"14",3,3,2,2,5,1,5,2,3,2,5,7,3,2,2,377,1,4,2,0,1,5,1,1
"15",8,3,5,1,1,2,5,1,2,2,720,4,3,3,1,6,3,4,4,1,0,4,1,11
"16",3,6,4,8,1,0,168,2,1,0,6,1,2,0,0,0,1,127,226,1,0,2,0,3
"17",157,12,118,13,3,7,6,3,203,4,6,2,1,2,4,0,3,2,3,0,0,3,5,4
"18",22,18,12,11,10,6,1,2,6,7,7,6,9,7,3,5,5,1,3,330,0,625,1,1
"19",12,4,3,30,940,7,4,3,7,9,4,8,7,3,2,4,2,2,4,2,0,4,3,12
"20",3,257,2,2,3,2,4,1,3,2,11,1,2,1,0,0,0,2,1,0,0,1,0,0
"21",6,7,0,4,3,131,5,5,11,252,7,2,4,6,5,4,2,23,4,5,1,15,12,7
"22",2,7,4,3,4,2,4,13,1,5,7,0,1,5,384,2,75,2,1,1,2,3,0,1
"23",3,2,2,542,3,5,4,2,15,1,4,2,4,2,2,0,2,1,0,10,0,3,0,4
"24",0,6,2,1,2,1,1,0,0,1,3,3,229,1,2,1,2,0,0,1,0,2,0,3
"25",5,217,5,1,7,4,10,3,4,2,5,379,5,5,2,1,11,4,4,2,1,8,1,0
"26",2,1,3,2,2,3,5,1,5,1,0,327,1,1,3,1,0,1,0,0,0,2,0,2
"27",2,0,45,0,1,1,2,0,0,1,1,1,120,3,1,1,8,0,0,0,0,0,0,0
"28",5,1,1,4,0,1,2,0,0,2,4,191,0,1,2,2,1,1,50,0,1,6,0,2
"29",3,8,2,4,4,2,8,3,4,2,498,0,1,2,2,0,2,0,0,0,1,1,0,3
"X",11,15,8,7,12,11,7,8,9,6,7,4,7,1,8,3,4,3,4,6,1,13,3,725
