"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,2,0,0,0,0,0,164,0,182,137,3,0,0,0,0
"2",0,205,6,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,87,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,133,178,0,1
"3",1,0,0,0,74,182,123,0,0,0,0,0,0,1,189,0,157,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,107,3
"4",0,0,0,1,0,0,1,0,0,0,1,0,0,244,0,164,1,86,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",0,1,1,0,0,0,0,1,0,348,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,416,1,1,0,0,1,0,1,0,0,0,0,1
"6",1,0,147,0,1,0,0,0,0,0,0,0,115,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0
"7",1,69,58,116,0,0,0,5,0,1,152,0,0,32,0,6,0,0,0,440,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",133,0,0,0,0,0,0,0,1,0,256,0,0,0,1,0,7,0,0,0,0,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",189,0,0,0,0,0,0,0,0,0,0,169,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,41,9,0,0,0,308,0,0,10,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269,0,1,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,232,180,1,0,0,0,0,0,313,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",0,123,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,1,1,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,1,0,0,0,0
"15",0,0,0,0,162,0,0,1,0,0,0,0,0,0,0,0,0,166,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"16",0,51,0,0,108,0,256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,45,1,1,1,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",523,79,0,0,225,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",1,0,0,0,199,0,1,1,719,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,74,1,114,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"21",0,0,129,0,0,0,0,168,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0,343,0,0,82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,1,0,1,296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1,0,0,0
"24",81,0,0,0,0,0,136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,267,0,0,0,0,0,0,0,0,0,0,1
"27",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,146,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"28",0,0,0,186,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,281,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"X",2,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,533
