"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",2,0,489,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0
"2",219,467,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1
"3",872,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"4",0,0,0,0,0,0,521,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"5",0,0,1,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,1,0,0,212,0,0
"6",0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",41,0,0,0,426,1,0,0,0,0,0,0,0,0,0,0,1,0,471,0,0,1,0,0
"8",0,7,0,19,0,0,0,84,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,374,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,61,0,0,0,0,0,0,0,0,361,271,0,0,0,0,0,0,0,0,1
"11",0,512,0,0,0,0,0,0,253,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,131,0,1,0,0,0,0,0,0,0,462,0,0,0,0
"14",0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,1,0,585,0,0,1,0,0,0,0,0,0,0,0,0,0
"16",506,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,2,0,111,2,0,0,0,0,0,0,198,1,0,0,0,0,0,1,0,0,148,0,0
"18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,322,0,0,555,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0,0
"20",0,0,0,0,249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,2,0,0,0,0,0,1,0,0,2,0,0,177,210,0,0,0,0,0,0,0,0,0
"22",0,1,440,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,223,0,0,0,0,0,0
"25",0,1,0,0,0,0,215,0,0,0,0,1,0,0,0,380,0,0,0,0,0,0,0,1
"26",0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",0,0,9,44,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",49,0,0,0,0,0,0,0,0,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,1
"X",0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,541
