"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",0,1,125,2,0,1,0,2,75,37,0,0,2,11,0,360,30,0,0,0,0
"2",283,166,1,216,0,1,6,0,0,1,0,0,0,0,0,0,0,14,0,0,0
"3",191,0,427,275,24,6,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0
"4",0,1,0,1,105,289,1,0,12,0,39,58,20,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,237,0,6,1,292,0,0,0,0,360,4,2,0,0,0,0
"6",0,0,88,0,326,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",8,0,0,0,0,0,5,180,65,123,168,1,91,3,0,4,91,160,0,0,0
"8",0,10,0,255,0,0,0,24,0,0,0,7,65,84,0,0,0,0,71,0,0
"9",13,0,0,44,1,1,0,0,41,215,0,0,0,0,0,0,60,0,0,0,0
"10",0,140,0,0,0,0,0,0,137,0,0,205,38,155,0,0,0,21,0,0,1
"11",58,289,0,0,46,118,11,0,0,7,56,76,0,1,0,0,97,0,0,0,0
"12",7,0,21,0,38,0,0,53,0,0,0,0,0,149,0,0,0,0,0,0,1
"13",0,545,1,0,0,0,0,4,0,0,0,0,19,0,0,0,0,21,0,0,0
"14",51,0,40,56,0,0,0,0,0,0,0,0,3,0,195,4,0,0,0,0,0
"15",0,159,0,1,0,0,254,0,182,0,0,0,0,0,0,0,0,0,40,0,1
"16",337,1,0,155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17",0,0,76,0,215,1,0,32,1,25,48,0,0,1,0,55,0,0,0,0,0
"18",1,0,0,1,0,1,499,319,0,0,1,0,4,0,1,0,4,0,0,0,0
"19",1,0,0,0,0,0,0,1,0,0,970,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,23,1,139,0,79,0,8,0,1,0,0
"21",0,19,0,0,0,0,120,1,70,0,0,175,0,3,0,0,0,0,0,0,0
"22",0,1,1,0,0,144,0,0,227,0,6,0,0,66,1,0,0,0,0,0,0
"23",18,1,1,0,0,2,1,0,15,0,0,0,138,3,0,0,292,0,0,0,0
"24",19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,173,0,0,0
"25",0,1,0,0,211,0,167,0,0,0,8,1,0,0,0,83,121,0,0,0,0
"26",0,0,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,0,226,0,0
"27",0,0,0,0,0,0,0,155,0,0,0,0,0,10,0,0,0,0,0,0,0
"28",1,3,0,0,0,17,0,31,0,77,0,0,16,85,0,0,0,0,0,0,0
"29",0,0,0,0,1,0,133,0,96,0,0,0,0,0,0,0,0,0,222,0,0
"X",0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,501
