"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",7,7,5,3,3,1,1,2,2,3,1,7,4,589,1,6,1,1,2,1,1,3
"2",8,4,8,5,0,0,477,6,3,3,2,5,176,5,5,4,12,4,0,0,0,5
"3",15,6,6,1,2,0,1,3,3,1,1,6,949,6,3,3,2,2,2,1,1,8
"4",2,3,2,3,0,1,225,1,3,219,1,2,44,2,4,1,2,0,2,0,0,10
"5",8,6,6,479,3,0,3,296,2,2,4,6,3,3,2,6,4,6,0,0,1,8
"6",13,119,0,2,2,0,2,0,4,0,0,2,5,1,418,1,2,1,0,0,1,2
"7",19,1,331,6,1,0,10,3,5,3,80,2,6,5,2,0,8,4,1,0,0,4
"8",603,102,2,0,0,2,4,1,5,0,1,1,5,1,5,0,1,0,2,2,0,5
"9",13,0,2,1,0,0,3,2,3,0,2,394,1,4,6,1,1,2,0,1,0,4
"10",9,6,22,2,1,0,7,3,2,0,10,4,4,2,4,3,633,2,3,163,0,3
"11",8,509,1,4,2,1,4,0,4,3,3,3,3,2,5,1,2,0,2,0,0,4
"12",7,3,0,1,0,0,1,154,2,0,0,0,0,0,0,1,0,0,1,0,1,2
"13",7,3,2,265,0,0,2,2,2,2,0,6,3,5,0,154,1,0,1,0,0,1
"14",8,2,285,3,0,0,8,0,3,0,2,1,3,5,1,0,3,5,0,0,1,1
"15",841,2,3,3,2,0,2,2,1,1,2,4,2,1,2,2,1,1,0,0,1,4
"16",10,2,0,0,1,0,1,0,1,0,2,3,119,3,0,248,0,1,1,0,0,3
"17",2,4,4,2,1,0,2,5,1,0,1,8,4,4,99,2,2,0,0,0,161,3
"18",4,2,4,5,307,0,4,0,2,2,4,4,3,5,4,1,1,0,0,0,1,4
"19",4,2,3,1,3,0,1,1,4,2,2,18,3,2,0,2,3,0,834,0,0,6
"20",9,1,32,2,0,1,1,1,2,0,168,1,2,1,0,0,0,0,1,1,1,1
"21",4,4,3,1,0,0,1,2,2,2,3,0,2,3,0,1,109,1,1,22,1,4
"22",6,2,1,3,0,1,0,0,416,11,2,1,3,36,1,1,3,0,0,0,0,1
"23",10,3,0,0,1,1,2,0,1,0,1,608,2,3,0,1,0,1,1,0,0,1
"24",3,1,1,1,0,0,0,0,222,1,1,0,0,1,3,1,1,1,0,1,0,2
"25",3,3,7,1,0,211,2,2,3,1,0,2,4,2,6,2,0,0,2,1,0,2
"26",4,0,1,0,1,0,3,1,0,0,1,2,1,1,0,1,0,298,1,0,0,1
"27",3,88,1,0,1,0,0,1,0,0,1,1,3,9,5,0,0,1,1,0,0,2
"28",8,1,0,1,0,0,0,1,0,0,0,2,1,2,0,50,0,146,0,0,0,2
"29",320,5,1,4,0,0,0,0,1,0,0,2,4,50,1,1,0,1,1,0,0,5
"X",7,2,9,4,2,1,1,4,3,0,3,4,6,16,2,4,4,5,1,0,3,604
