"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",163,19,8,224,20,10,9,5,5,18,14,7,94,11,6,8,2,2,8,4,8,546,0,5
"2",17,151,14,6,14,10,415,10,6,4,4,4,15,3,2,6,0,6,1,83,1,1,0,5
"3",2,117,157,5,3,140,5,1,8,10,4,1,1,3,3,1,2,6,2,5,1,1,0,4
"4",8,261,3,10,14,4,5,4,5,2,7,151,2,9,5,1,2,2,50,2,1,2,0,4
"5",8,6,8,8,198,1,181,9,4,3,251,5,2,14,4,4,4,5,3,238,1,4,0,8
"6",4,216,4,5,16,9,192,4,8,7,6,359,3,6,2,1,10,3,2,2,2,8,1,2
"7",8,8,4,11,7,7,4,2,2,5,3,4,147,3,4,3,4,249,159,2,1,2,0,8
"8",10,3,6,1,7,3,3,7,8,493,5,4,7,2,4,5,4,3,9,1,0,4,0,8
"9",262,6,6,9,700,8,8,6,6,11,3,8,5,3,2,5,2,4,0,3,0,2,1,8
"10",176,9,6,10,12,9,3,5,172,11,7,1,1,199,6,4,4,3,3,1,1,3,0,6
"11",267,172,7,5,8,8,8,5,5,8,7,5,5,10,2,0,2,4,0,1,2,2,0,7
"12",7,8,6,495,9,8,8,6,8,4,12,3,1,6,1,2,2,3,1,8,0,7,0,4
"13",6,1,118,7,12,4,5,3,1,6,3,2,0,0,3,201,0,6,2,0,1,3,0,3
"14",4,9,12,11,11,10,9,266,19,14,16,3,7,2,10,0,10,2,42,0,3,4,0,7
"15",6,7,83,5,4,4,215,3,100,45,2,3,3,1,4,2,4,3,1,5,0,4,0,5
"16",2,4,45,3,4,3,0,180,3,2,4,3,116,1,4,0,6,1,5,0,1,1,0,4
"17",5,5,6,8,6,4,68,2,4,2,10,3,3,361,4,2,0,106,4,1,1,2,0,10
"18",3,9,3,7,3,2,3,100,3,4,504,0,1,1,4,2,3,0,0,1,1,3,0,5
"19",1,3,56,5,5,90,3,3,4,7,4,2,2,2,3,0,0,0,0,0,0,1,0,5
"20",5,15,8,8,11,1,7,2,4,2,7,6,6,2,354,3,2,3,3,2,4,435,0,7
"21",3,6,6,8,11,3,8,3,5,6,375,2,4,2,1,2,7,2,1,1,0,1,0,4
"22",160,1,1,3,34,4,0,2,0,11,1,2,4,1,1,0,1,1,1,0,0,2,0,0
"23",0,4,0,6,19,3,6,4,6,9,5,1,5,4,18,0,246,1,0,1,0,2,0,1
"24",5,0,1,2,455,3,2,0,2,0,1,1,2,1,2,0,1,3,2,1,0,2,0,2
"25",11,2,21,6,108,129,7,3,2,4,3,1,94,1,1,1,1,2,1,0,0,1,0,2
"26",152,8,2,5,6,9,5,3,204,15,6,27,1,2,1,6,4,2,2,0,0,3,0,4
"27",19,9,9,10,13,7,4,6,379,8,4,2,4,5,7,6,9,4,2,1,0,2,0,9
"28",5,1,3,2,2,5,1,1,8,1,1,323,1,2,1,1,1,1,0,1,1,0,0,8
"29",3,1,1,0,4,0,2,3,3,3,1,2,1,1,2,158,1,1,1,1,0,2,0,0
"30",5,1,3,2,10,8,1,1,2,314,2,1,2,3,2,1,1,2,0,3,1,2,12,2
"31",4,3,3,0,1,3,4,0,8,2,2,3,3,1,1,0,2,2,1,1,183,0,0,2
"32",6,7,172,4,3,2,1,2,6,4,5,3,5,1,2,1,4,4,2,2,1,1,1,4
"33",1,2,0,2,1,3,0,0,3,2,0,0,1,1,171,0,15,0,0,0,10,0,0,3
"34",5,53,1,1,2,1,3,1,5,4,7,2,1,2,90,0,54,3,3,0,0,1,0,5
"35",1,1,1,147,3,1,1,0,3,8,2,3,1,0,1,1,0,1,0,1,0,4,0,1
"36",2,0,2,1,4,137,2,1,1,3,2,1,0,0,2,1,2,0,0,0,0,0,0,2
"37",3,3,3,5,8,188,1,2,2,1,6,3,3,2,0,0,2,0,0,1,1,0,0,2
"38",2,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,124,71,0,0,0,0,2
"X",18,12,13,12,14,19,12,10,17,16,9,5,10,7,7,7,5,11,3,5,1,7,2,674
