"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",2,2,1,2,93,6,2,7,5,213,5,7,4,138,7,3,6,2,588
"2",2,1,0,145,0,161,4,1,3,4,5,7,1,5,1,1,277,0,93
"3",0,0,1,6,1,115,0,2,156,2,149,4,3,0,1,0,2,1,1
"4",2,1,209,3,0,267,2,4,3,2,4,0,1,1,0,4,3,2,0
"5",2,0,0,1,1,3,1,3,2,0,5,2,3,2,266,198,149,0,227
"6",0,0,1,2,1,3,4,1,2,4,3,1,2,0,4,3,200,591,3
"7",420,2,0,1,155,7,3,0,1,4,3,2,4,2,1,4,2,1,3
"8",2,1,0,17,1,8,2,2,6,2,528,2,1,4,4,4,2,0,1
"9",0,0,2,4,0,1,1,4,2,2,1,6,4,250,3,758,4,2,1
"10",0,0,1,379,2,4,205,5,4,1,1,2,2,2,1,2,5,0,2
"11",1,2,0,0,1,181,1,4,6,2,2,4,0,276,5,2,3,1,1
"12",2,1,2,3,0,1,2,2,1,544,3,4,1,1,2,3,2,1,3
"13",1,199,0,2,2,4,4,1,121,1,6,3,3,2,3,2,5,1,2
"14",0,0,2,5,1,47,1,286,4,2,0,3,5,4,3,3,3,1,0
"15",0,1,0,103,0,2,1,2,80,2,46,2,0,1,0,1,205,1,7
"16",2,1,2,3,1,8,1,203,171,2,2,2,2,0,5,0,2,0,0
"17",1,1,0,1,0,5,348,0,4,7,1,3,0,1,2,1,169,0,0
"18",0,1,0,3,0,1,2,120,2,1,3,2,2,1,566,0,1,1,2
"19",0,0,2,1,3,2,3,2,56,1,3,4,1,0,0,2,92,1,0
"20",0,0,0,3,2,1,4,830,1,1,1,1,4,0,2,1,1,1,1
"21",0,2,0,3,2,3,1,2,4,1,4,3,2,1,419,1,2,1,0
"22",0,1,0,1,0,182,2,0,4,0,1,1,2,2,1,3,0,2,1
"23",1,0,0,2,1,0,15,4,3,1,2,1,259,0,0,2,0,2,1
"24",1,0,0,0,1,1,463,1,1,3,2,1,0,1,2,2,0,0,0
"25",1,0,0,3,1,105,3,2,115,1,4,0,0,0,1,1,129,0,0
"26",3,1,22,2,391,0,1,1,3,0,2,2,1,2,0,3,3,0,0
"27",0,3,1,470,1,2,2,3,4,4,4,3,1,4,2,4,6,0,0
"28",1,0,325,1,0,1,2,2,3,2,0,2,0,0,1,0,1,0,0
"29",0,156,0,4,0,1,4,1,4,2,2,1,1,0,1,0,1,0,1
"30",0,0,0,2,0,0,2,1,3,0,359,2,0,1,1,1,1,0,1
"31",1,0,1,1,1,2,1,0,3,0,1,1,189,2,0,0,2,1,1
"32",1,0,2,0,1,6,1,1,168,1,3,3,5,0,3,1,1,0,2
"33",0,0,0,0,0,1,0,0,2,2,2,1,207,0,0,0,1,1,0
"34",0,0,2,3,0,49,3,1,2,0,2,2,134,1,1,0,0,2,0
"35",2,6,2,2,1,5,2,4,3,181,5,7,1,0,4,3,5,2,2
"36",0,0,0,0,0,1,0,3,0,1,2,0,0,2,1,1,140,0,0
"37",0,0,0,0,0,1,1,2,6,1,2,2,3,0,2,1,196,0,0
"38",188,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
"X",1,4,1,13,7,6,6,3,13,1,9,646,3,5,10,6,12,2,4
