"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",0,0,0,1,0,196,1,0,131,0,0,2,0,1,0,1,0,87,563,0,0,0,0,1
"2",262,0,0,0,149,0,0,0,0,125,0,0,0,1,0,78,0,0,0,0,0,0,0,0
"3",0,3,1,156,104,0,0,0,0,1,0,1,1,1,142,0,0,0,0,0,0,0,0,0
"4",52,0,0,0,249,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",186,0,0,0,1,0,0,0,0,0,242,0,0,0,0,229,204,0,0,0,0,0,0,0
"6",182,1,0,0,1,0,206,0,0,0,1,1,0,0,0,362,0,0,0,0,0,0,0,1
"7",390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0
"8",4,0,0,0,0,0,0,1,0,0,0,1,0,471,0,0,1,0,0,0,0,0,0,0
"9",1,1,0,0,0,0,0,0,235,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0
"10",0,189,0,0,0,0,0,0,0,0,0,163,0,0,0,1,1,0,1,0,0,194,0,1
"11",0,0,0,0,160,0,1,0,250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"12",1,0,0,0,1,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,114,0,0,1,192,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"14",30,1,1,0,0,0,255,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"15",195,0,0,75,0,0,0,0,0,0,0,96,0,37,1,6,0,0,0,0,0,0,0,0
"16",4,0,0,42,0,0,157,107,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"17",164,336,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,91,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,91,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,1,0,0,0,0
"21",0,0,0,1,1,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,1,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0
"25",0,115,0,18,0,0,0,88,0,0,0,0,96,0,0,0,0,0,0,1,0,0,0,0
"26",0,2,0,0,2,0,0,0,0,23,0,196,0,0,1,0,0,0,0,0,0,145,0,1
"27",0,0,1,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,12,0,0
"28",0,0,0,0,0,0,0,0,0,316,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"29",0,0,0,0,0,0,0,153,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,4,335,0,0,0,1,0,0,0,0,0
"31",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,159,0,0,0
"32",0,0,0,161,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"33",0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,138,0,49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"35",1,0,0,0,0,151,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"36",1,137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,177,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,569
