"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",1,0,1,184,1,0,0,1,0,0,4,0,0,0,119,0,2,87,486,1,1
"2",231,0,0,0,0,139,1,0,119,1,0,0,0,0,0,0,0,0,0,70,0
"3",44,1,0,3,105,96,130,0,1,1,1,0,1,0,1,1,1,0,0,0,0
"4",52,0,0,0,0,239,1,0,145,0,1,0,0,0,1,0,0,0,0,0,0
"5",177,0,1,0,0,0,0,0,1,0,0,0,0,224,2,193,0,0,1,217,0
"6",180,0,168,0,1,1,0,0,0,1,3,0,1,0,1,0,0,0,0,330,0
"7",373,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,126,0,0,0
"8",4,1,0,1,1,0,446,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"9",1,0,0,1,0,0,0,0,0,0,0,1,0,0,215,646,0,0,1,0,2
"10",1,0,0,0,0,2,1,0,0,182,154,0,175,0,0,1,0,0,0,1,0
"11",0,0,1,0,0,146,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0
"12",0,1,0,440,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13",0,1,0,1,109,0,6,174,0,0,0,0,0,0,0,0,0,0,0,1,0
"14",23,0,222,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"15",167,0,0,0,70,2,32,0,0,0,93,0,0,0,0,1,0,0,1,6,0
"16",6,0,138,0,40,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",153,0,0,2,0,0,1,0,1,0,1,0,315,0,0,0,1,0,0,0,0
"18",5,0,82,1,0,0,0,0,0,0,0,0,1,423,0,0,0,0,0,0,0
"19",0,0,0,0,54,0,0,0,0,0,0,25,57,0,0,0,0,0,0,0,0
"20",0,286,0,0,0,1,0,0,0,0,38,0,1,0,0,0,0,0,396,0,0
"21",0,0,0,0,1,1,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,157,0,0,0,0
"23",0,233,0,0,0,1,0,0,1,12,1,0,0,0,1,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,417,1,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,16,0,0,86,0,1,0,100,4,1,0,0,87,0,0,0,0
"26",0,1,0,0,0,1,1,0,22,128,171,0,2,0,0,1,0,0,0,0,1
"27",1,0,0,0,1,1,0,0,0,11,380,1,1,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,295,0,1,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,1,1,148,0,0,0,1,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,312,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",0,10,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"32",0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"33",1,173,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"34",0,123,0,1,0,46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"35",1,0,0,141,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"36",1,0,0,1,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,3,0,0,0,172,0,0,0,0,0,0,0,0,0
"38",181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,536
