"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",119,1,0,0,71,0,1,0,75,0,0,163,2,0,0,1,1,0,0,0,0,4
"2",0,3,69,1,55,0,1,0,1,0,50,0,137,0,1,90,0,0,1,0,0,0
"3",0,79,0,1,0,0,2,1,1,1,66,0,0,1,0,1,32,1,0,1,0,0
"4",1,0,149,0,0,0,0,1,0,0,86,0,0,0,0,46,1,121,0,0,0,0
"5",187,0,0,0,148,0,2,0,0,1,1,0,104,0,1,1,0,0,152,0,0,0
"6",2,1,2,1,0,184,1,1,0,0,1,1,171,0,0,0,1,0,1,1,0,1
"7",2,0,0,0,0,0,0,0,135,0,1,1,188,0,0,160,0,0,0,0,0,0
"8",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,188,0,0,166,0,2
"9",3,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,535,0,0,1
"10",0,179,0,162,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"11",208,0,124,2,0,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,1,0,0,446,0,0,0,0,0,0,0,0,0,0
"13",1,33,111,1,0,0,0,0,0,1,0,0,0,0,68,0,1,0,0,0,0,0
"14",0,0,0,1,0,0,83,0,0,146,0,0,0,1,0,0,0,0,0,0,0,0
"15",1,1,0,92,0,0,0,0,0,0,0,0,139,0,52,0,37,0,0,0,0,0
"16",1,71,0,0,0,0,52,0,0,2,0,0,42,0,4,0,0,0,0,0,0,1
"17",0,283,0,1,0,0,0,1,1,0,0,0,154,1,0,0,0,0,0,0,0,2
"18",237,2,1,0,0,0,46,0,0,28,0,0,2,1,0,0,0,0,0,0,0,0
"19",1,1,0,0,0,0,80,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0
"20",2,0,0,2,0,0,1,0,284,0,0,0,3,1,0,0,2,0,0,0,0,2
"21",312,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,2,0,0,0,0,34,0,0,0,0,179,0,0,0,0,0,0,0,0
"24",1,0,0,235,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25",2,73,1,1,0,0,38,36,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"26",0,2,0,0,0,0,1,0,0,1,0,1,1,1,0,2,0,22,0,0,135,0
"27",0,1,1,116,0,0,0,250,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0
"29",1,0,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"30",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,261,0,0,0,0,0
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,1,0,1,0,0,0,0,1,152,0,1,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
"34",0,0,0,1,0,1,0,0,0,0,13,0,0,132,0,0,0,0,0,0,0,1
"35",1,0,1,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,77,0,1,0,0,0,0
"X",2,2,1,1,0,0,2,0,1,1,0,1,3,3,0,0,0,1,0,0,1,410
