"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",703,1,0,1,3,1,1,0,0,1,0,0,22,1,1,0,66,65,1,31,1
"2",0,71,0,0,242,0,0,0,0,0,0,0,0,1,0,0,119,64,80,0,0
"3",131,72,0,0,0,2,3,14,14,0,0,0,0,147,1,0,0,9,0,1,0
"4",2,85,0,1,0,0,0,0,1,85,0,0,1,0,27,38,51,28,30,75,0
"5",1,1,0,3,178,2,0,232,0,198,0,0,1,0,0,0,0,0,221,0,0
"6",158,157,1,2,1,0,0,1,2,197,0,191,0,22,0,0,1,0,0,0,0
"7",0,102,0,0,0,0,1,0,25,1,0,0,272,2,0,0,1,104,0,0,0
"8",1,0,1,0,1,359,1,0,1,3,0,0,0,0,105,0,0,1,0,0,1
"9",1,1,220,0,1,0,0,0,0,697,0,0,0,0,0,1,0,0,0,0,0
"10",1,0,0,26,1,36,338,1,55,0,0,0,0,56,0,0,0,0,8,8,1
"11",7,0,12,0,230,0,0,0,1,71,0,0,0,1,0,0,20,64,0,0,0
"12",12,1,0,0,42,0,0,53,134,0,0,0,0,0,2,0,0,0,0,214,0
"13",0,0,0,0,0,1,181,5,0,0,0,0,1,114,0,0,0,0,0,0,0
"14",3,0,0,203,0,31,0,12,1,19,3,0,0,0,2,0,3,0,0,0,0
"15",0,41,0,0,187,1,91,0,0,0,0,0,0,2,36,13,0,0,19,0,0
"16",0,0,0,149,0,5,1,0,0,6,0,0,0,7,1,149,0,0,0,0,0
"17",2,154,41,90,0,188,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1
"18",326,0,158,34,0,20,0,0,0,0,0,1,0,13,1,0,18,0,0,0,0
"19",1,38,27,3,0,1,0,0,7,0,0,0,41,0,0,1,0,13,11,0,0
"20",0,1,1,139,1,0,130,204,53,0,0,26,1,0,22,136,0,0,53,0,0
"21",307,1,12,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,1,1,0,1,0,0,0,7,0,0,0,0,0,115,41,0,0,0,0,0
"23",0,50,12,0,0,0,0,160,9,0,1,1,0,2,10,8,0,0,0,0,0
"24",0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,21,1,0,0,0,0,0,113,0,0,36,0,0,114,28,0,0,0,0,0
"26",20,0,0,1,0,0,0,1,0,1,53,196,0,48,1,0,0,0,0,26,0
"27",0,0,0,218,0,0,125,0,2,0,5,0,0,0,0,0,0,0,0,0,40
"28",279,0,0,18,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"29",1,34,0,0,98,1,8,2,0,0,4,0,0,0,0,0,0,0,0,0,2
"30",0,0,147,0,0,0,0,177,0,0,0,0,0,0,4,0,0,0,1,0,0
"31",0,0,0,0,0,0,0,0,0,0,108,0,0,1,0,0,0,0,0,53,0
"32",1,80,0,14,0,1,0,0,0,0,0,0,0,61,1,0,0,0,0,0,0
"33",1,0,0,0,0,0,2,0,0,0,173,0,0,0,1,0,0,0,0,0,0
"34",35,82,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,121,0,0,11,0
"36",0,0,125,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"37",0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,3,0,1,0,0,0
"38",0,2,0,0,0,0,1,0,0,0,0,0,175,0,0,0,0,0,1,0,0
"X",49,2,13,0,2,1,0,4,2,1,0,6,0,2,0,2,2,5,0,3,410
