"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1,0,0,1,0,121,2,2,1,483,2,456,0,1,1,0,0,13,49,0,0,2,11,0
"2",0,1,186,1,0,1,558,0,0,1,0,0,87,0,0,0,0,0,0,1,0,0,0,0
"3",1,0,369,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0
"4",0,0,0,0,0,0,0,515,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"5",0,0,0,1,0,1,266,0,0,0,0,0,0,0,0,0,9,429,92,0,0,1,0,0
"6",11,1,3,0,1,195,0,0,468,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"7",0,1,1,1,0,0,0,0,0,1,549,2,0,0,0,3,0,0,0,0,0,244,0,1
"8",100,1,0,0,0,2,0,0,179,0,0,1,214,0,0,1,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,340,0,0,0,0,0,0,0,1
"10",0,0,0,235,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,435,1,0
"11",3,0,0,0,839,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3
"12",0,1,0,0,2,0,1,0,0,0,449,0,0,1,0,0,0,0,0,0,0,0,0,0
"13",0,186,0,0,1,0,2,0,2,0,0,327,0,2,0,0,8,0,1,0,0,6,1,0
"14",1,499,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,19,0,0,0,0,0
"15",2,2,0,0,0,1,0,0,0,0,0,0,0,503,0,0,0,0,1,0,0,0,0,0
"16",0,1,0,1,0,0,0,0,0,0,0,1,0,0,331,0,214,0,0,0,0,0,0,0
"17",141,0,1,0,117,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"18",0,0,1,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,1,0,1,0,0,0,0,0,0,0,0,0,1,238,0,63,0,0,0,9,0,0,0
"20",2,1,0,432,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,183,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,5,0,1,87,0,0
"22",0,0,0,0,428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",386,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0
"27",0,0,41,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
"28",140,0,0,0,0,0,0,0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"29",0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,123,0,0,0,0,0
"31",0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,516
